Equipo_Local;Equipo_Visitante;Temporada;Goles_Local;Goles_Visitante;Puntos_Locales;Puntos_Visitantes;Resultado
Villarreal;R. Sociedad;2019/2020;1;2;0;3;2
Granada;Real Madrid;2019/2020;1;2;0;3;2
Eibar;Real Valladolid;2019/2020;3;1;3;0;1
Athletic;Leganés;2019/2020;0;2;0;3;2
Barcelona;Osasuna;2019/2020;1;2;0;3;2
Betis;Alavés;2019/2020;1;2;0;3;2
Real Madrid;Villarreal;2019/2020;2;1;3;0;1
Valencia;Espanyol;2019/2020;1;0;3;0;1
Mallorca;Granada;2019/2020;1;2;0;3;2
Getafe;Atlético;2019/2020;0;2;0;3;2
Celta;Levante;2019/2020;2;3;0;3;2
R. Sociedad;Sevilla;2019/2020;0;0;1;1;x
Alavés;Barcelona;2019/2020;0;5;0;3;2
Villarreal;Eibar;2019/2020;4;0;3;0;1
Real Valladolid;Betis;2019/2020;2;0;3;0;1
Espanyol;Celta;2019/2020;0;0;1;1;x
Osasuna;Mallorca;2019/2020;2;2;1;1;x
Levante;Getafe;2019/2020;1;0;3;0;1
Sevilla;Valencia;2019/2020;1;0;3;0;1
Leganés;Real Madrid;2019/2020;2;2;1;1;x
Granada;Athletic;2019/2020;4;0;3;0;1
Atlético;R. Sociedad;2019/2020;1;1;1;1;x
Eibar;Celta;2020/2021;0;0;1;1;x
Granada;Athletic;2020/2021;2;0;3;0;1
Cádiz;Osasuna;2020/2021;0;2;0;3;2
Alavés;Betis;2020/2021;0;1;0;3;2
Real Valladolid;R. Sociedad;2020/2021;1;1;1;1;x
Villarreal;Huesca;2020/2021;1;1;1;1;x
Valencia;Levante;2020/2021;4;2;3;0;1
Atlético;Sevilla;2020/2021;2;0;3;0;1
Real Madrid;Getafe;2020/2021;2;0;3;0;1
Barcelona;Elche;2020/2021;3;0;3;0;1
Villarreal;Eibar;2020/2021;2;1;3;0;1
Getafe;Osasuna;2020/2021;1;0;3;0;1
Celta;Valencia;2020/2021;2;1;3;0;1
Huesca;Cádiz;2020/2021;0;2;0;3;2
Betis;Real Valladolid;2020/2021;2;0;3;0;1
Granada;Alavés;2020/2021;2;1;3;0;1
R. Sociedad;Real Madrid;2020/2021;0;0;1;1;x
Athletic;Barcelona;2020/2021;2;3;0;3;2
Levante;Atlético;2020/2021;1;1;1;1;x
Sevilla;Elche;2020/2021;2;0;3;0;1
Alavés;Getafe;2020/2021;0;0;1;1;x
Valencia;Huesca;2020/2021;1;1;1;1;x
Elche;R. Sociedad;2020/2021;0;3;0;3;2
Betis;Real Madrid;2020/2021;2;3;0;3;2
Osasuna;Levante;2020/2021;1;3;0;3;2
Eibar;Athletic;2020/2021;1;2;0;3;2
Atlético;Granada;2020/2021;6;1;3;0;1
Cádiz;Sevilla;2020/2021;1;3;0;3;2
Real Valladolid;Celta;2020/2021;1;1;1;1;x
Barcelona;Villarreal;2020/2021;4;0;3;0;1
R. Sociedad;Valencia;2020/2021;0;1;0;3;2
Getafe;Betis;2020/2021;3;0;3;0;1
Huesca;Atlético;2020/2021;0;0;1;1;x
Villarreal;Alavés;2020/2021;3;1;3;0;1
Eibar;Elche;2020/2021;0;1;0;3;2
Real Madrid;Real Valladolid;2020/2021;1;0;3;0;1
Sevilla;Levante;2020/2021;1;0;3;0;1
Athletic;Cádiz;2020/2021;0;1;0;3;2
Celta;Barcelona;2020/2021;0;3;0;3;2
Granada;Osasuna;2020/2021;2;0;3;0;1
Real Valladolid;Eibar;2020/2021;1;2;0;3;2
Atlético;Villarreal;2020/2021;0;0;1;1;x
Elche;Huesca;2020/2021;0;0;1;1;x
R. Sociedad;Getafe;2020/2021;3;0;3;0;1
Valencia;Betis;2020/2021;0;2;0;3;2
Osasuna;Celta;2020/2021;2;0;3;0;1
Alavés;Athletic;2020/2021;1;0;3;0;1
