Equipo_Local;Equipo_Visitante;Goles_Equipo_Local;Goles_Equipo_Visitante;Temporada;Fecha
Villarreal;Huesca;1;1;2018/2019;28/04/2019
Betis;Espanyol;1;1;2018/2019;29/04/2019
Sevilla;Leganés;0;3;2018/2019;03/05/2019
Alavés;R. Sociedad;0;1;2018/2019;04/05/2019
Celta;Barcelona;2;0;2018/2019;04/05/2019
Espanyol;Atlético;3;0;2018/2019;04/05/2019
Levante;Rayo;4;1;2018/2019;04/05/2019
Eibar;Betis;1;0;2018/2019;05/05/2019
Getafe;Girona;2;0;2018/2019;05/05/2019
Huesca;Valencia;2;6;2018/2019;05/05/2019
Real Madrid;Villarreal;3;2;2018/2019;05/05/2019
Valladolid;Athletic;1;0;2018/2019;05/05/2019
Athletic;Celta;3;1;2018/2019;12/05/2019
Atlético;Sevilla;1;1;2018/2019;12/05/2019
Barcelona;Getafe;2;0;2018/2019;12/05/2019
Betis;Huesca;2;1;2018/2019;12/05/2019
Girona;Levante;1;2;2018/2019;12/05/2019
Leganés;Espanyol;0;2;2018/2019;12/05/2019
R. Sociedad;Real Madrid;3;1;2018/2019;12/05/2019
Valencia;Alavés;3;1;2018/2019;12/05/2019
Rayo;Valladolid;1;2;2018/2019;12/05/2019
Villarreal;Eibar;1;0;2018/2019;12/05/2019
Alavés;Girona;2;1;2018/2019;18/05/2019
Celta;Rayo;2;2;2018/2019;18/05/2019
Espanyol;R. Sociedad;2;0;2018/2019;18/05/2019
Getafe;Villarreal;2;2;2018/2019;18/05/2019
Huesca;Leganés;2;1;2018/2019;18/05/2019
Levante;Atlético;2;2;2018/2019;18/05/2019
Sevilla;Athletic;2;0;2018/2019;18/05/2019
Valladolid;Valencia;0;2;2018/2019;18/05/2019
Eibar;Barcelona;2;2;2018/2019;19/05/2019
Real Madrid;Betis;0;2;2018/2019;19/05/2019
Athletic;Barcelona;1;0;2019/2020;16/08/2019
Celta;Real Madrid;1;3;2019/2020;17/08/2019
Valencia;R. Sociedad;1;1;2019/2020;17/08/2019
Mallorca;Eibar;2;1;2019/2020;17/08/2019
Villarreal;Granada;4;4;2019/2020;17/08/2019
Leganés;Osasuna;0;1;2019/2020;18/08/2019
Alavés;Levante;1;0;2019/2020;18/08/2019
Espanyol;Sevilla;0;2;2019/2020;18/08/2019
Betis;Real Valladolid;1;2;2019/2020;18/08/2019
Atlético;Getafe;1;0;2019/2020;18/08/2019
Granada;Sevilla;0;1;2019/2020;23/08/2019
Levante;Villarreal;2;1;2019/2020;23/08/2019
Osasuna;Eibar;0;0;2019/2020;24/08/2019
Real Madrid;Real Valladolid;1;1;2019/2020;24/08/2019
Getafe;Athletic;1;1;2019/2020;24/08/2019
Celta;Valencia;1;0;2019/2020;25/08/2019
Mallorca;R. Sociedad;0;1;2019/2020;25/08/2019
Alavés;Espanyol;0;0;2019/2020;25/08/2019
Leganés;Atlético;0;1;2019/2020;25/08/2019
Barcelona;Betis;5;2;2019/2020;25/08/2019
Sevilla;Celta;1;1;2019/2020;30/08/2019
Athletic;R. Sociedad;2;0;2019/2020;30/08/2019
Osasuna;Barcelona;2;2;2019/2020;31/08/2019
Getafe;Alavés;1;1;2019/2020;31/08/2019
Levante;Real Valladolid;2;0;2019/2020;31/08/2019
Betis;Leganés;2;1;2019/2020;31/08/2019
Valencia;Mallorca;2;0;2019/2020;01/09/2019
Atlético;Eibar;3;2;2019/2020;01/09/2019
Espanyol;Granada;0;3;2019/2020;01/09/2019
Villarreal;Real Madrid;2;2;2019/2020;01/09/2019
Mallorca;Athletic;0;0;2019/2020;13/09/2019
Real Madrid;Levante;3;2;2019/2020;14/09/2019
Leganés;Villarreal;0;3;2019/2020;14/09/2019
R. Sociedad;Atlético;2;0;2019/2020;14/09/2019
Barcelona;Valencia;5;2;2019/2020;14/09/2019
Eibar;Espanyol;1;2;2019/2020;15/09/2019
Alavés;Sevilla;0;1;2019/2020;15/09/2019
Celta;Granada;0;2;2019/2020;15/09/2019
Real Valladolid;Osasuna;1;1;2019/2020;15/09/2019
Betis;Getafe;1;1;2019/2020;15/09/2019
Osasuna;Betis;0;0;2019/2020;20/09/2019
Villarreal;Real Valladolid;2;0;2019/2020;21/09/2019
Levante;Eibar;0;0;2019/2020;21/09/2019
Atlético;Celta;0;0;2019/2020;21/09/2019
Granada;Barcelona;2;0;2019/2020;21/09/2019
Getafe;Mallorca;4;2;2019/2020;22/09/2019
Espanyol;R. Sociedad;1;3;2019/2020;22/09/2019
Valencia;Leganés;1;1;2019/2020;22/09/2019
Athletic;Alavés;2;0;2019/2020;22/09/2019
Sevilla;Real Madrid;0;1;2019/2020;22/09/2019
Real Valladolid;Granada;1;1;2019/2020;24/09/2019
Betis;Levante;3;1;2019/2020;24/09/2019
Barcelona;Villarreal;2;1;2019/2020;24/09/2019
Mallorca;Atlético;0;2;2019/2020;25/09/2019
Leganés;Athletic;1;1;2019/2020;25/09/2019
Valencia;Getafe;3;3;2019/2020;25/09/2019
Real Madrid;Osasuna;2;0;2019/2020;25/09/2019
Eibar;Sevilla;3;2;2019/2020;26/09/2019
Celta;Espanyol;1;1;2019/2020;26/09/2019
R. Sociedad;Alavés;3;0;2019/2020;26/09/2019
Villarreal;Betis;5;1;2019/2020;27/09/2019
Athletic;Valencia;0;1;2019/2020;28/09/2019
Getafe;Barcelona;0;2;2019/2020;28/09/2019
Granada;Leganés;1;0;2019/2020;28/09/2019
Atlético;Real Madrid;0;0;2019/2020;28/09/2019
Espanyol;Real Valladolid;0;2;2019/2020;29/09/2019
Eibar;Celta;2;0;2019/2020;29/09/2019
Alavés;Mallorca;2;0;2019/2020;29/09/2019
Levante;Osasuna;1;1;2019/2020;29/09/2019
Sevilla;R. Sociedad;3;2;2019/2020;29/09/2019
Betis;Eibar;1;1;2019/2020;04/10/2019
Leganés;Levante;1;2;2019/2020;05/10/2019
Real Madrid;Granada;4;2;2019/2020;05/10/2019
Valencia;Alavés;2;1;2019/2020;05/10/2019
Osasuna;Villarreal;2;1;2019/2020;05/10/2019
Mallorca;Espanyol;2;0;2019/2020;06/10/2019
Celta;Athletic;1;0;2019/2020;06/10/2019
Real Valladolid;Atlético;0;0;2019/2020;06/10/2019
R. Sociedad;Getafe;1;2;2019/2020;06/10/2019
Barcelona;Sevilla;4;0;2019/2020;06/10/2019
Granada;Osasuna;1;0;2019/2020;18/10/2019
Eibar;Barcelona;0;3;2019/2020;19/10/2019
Atlético;Valencia;1;1;2019/2020;19/10/2019
Getafe;Leganés;2;0;2019/2020;19/10/2019
Mallorca;Real Madrid;1;0;2019/2020;19/10/2019
Alavés;Celta;2;0;2019/2020;20/10/2019
R. Sociedad;Betis;3;1;2019/2020;20/10/2019
Espanyol;Villarreal;0;1;2019/2020;20/10/2019
Athletic;Real Valladolid;1;1;2019/2020;20/10/2019
Sevilla;Levante;1;0;2019/2020;20/10/2019
Villarreal;Alavés;4;1;2019/2020;25/10/2019
Leganés;Mallorca;1;0;2019/2020;26/10/2019
Real Valladolid;Eibar;2;0;2019/2020;26/10/2019
Atlético;Athletic;2;0;2019/2020;26/10/2019
Celta;R. Sociedad;0;1;2019/2020;27/10/2019
Granada;Betis;1;0;2019/2020;27/10/2019
Levante;Espanyol;0;1;2019/2020;27/10/2019
Sevilla;Getafe;2;0;2019/2020;27/10/2019
Osasuna;Valencia;3;1;2019/2020;27/10/2019
Barcelona;Real Madrid;0;0;2019/2020;18/12/2019
Alavés;Atlético;1;1;2019/2020;29/10/2019
Barcelona;Real Valladolid;5;1;2019/2020;29/10/2019
R. Sociedad;Levante;1;2;2019/2020;30/10/2019
Valencia;Sevilla;1;1;2019/2020;30/10/2019
Athletic;Espanyol;3;0;2019/2020;30/10/2019
Betis;Celta;2;1;2019/2020;30/10/2019
Real Madrid;Leganés;5;0;2019/2020;30/10/2019
Mallorca;Osasuna;2;2;2019/2020;31/10/2019
Eibar;Villarreal;2;1;2019/2020;31/10/2019
Getafe;Granada;3;1;2019/2020;31/10/2019
Espanyol;Valencia;1;2;2019/2020;02/11/2019
Levante;Barcelona;3;1;2019/2020;02/11/2019
Sevilla;Atlético;1;1;2019/2020;02/11/2019
Real Madrid;Betis;0;0;2019/2020;02/11/2019
Real Valladolid;Mallorca;3;0;2019/2020;03/11/2019
Villarreal;Athletic;0;0;2019/2020;03/11/2019
Osasuna;Alavés;4;2;2019/2020;03/11/2019
Leganés;Eibar;1;2;2019/2020;03/11/2019
Celta;Getafe;0;1;2019/2020;03/11/2019
Granada;R. Sociedad;1;2;2019/2020;03/11/2019
R. Sociedad;Leganés;1;1;2019/2020;08/11/2019
Alavés;Real Valladolid;3;0;2019/2020;09/11/2019
Valencia;Granada;2;0;2019/2020;09/11/2019
Eibar;Real Madrid;0;4;2019/2020;09/11/2019
Barcelona;Celta;4;1;2019/2020;09/11/2019
Mallorca;Villarreal;3;1;2019/2020;10/11/2019
Athletic;Levante;2;1;2019/2020;10/11/2019
Atlético;Espanyol;3;1;2019/2020;10/11/2019
Getafe;Osasuna;0;0;2019/2020;10/11/2019
Betis;Sevilla;1;2;2019/2020;10/11/2019
Levante;Mallorca;2;1;2019/2020;22/11/2019
Leganés;Barcelona;1;2;2019/2020;23/11/2019
Betis;Valencia;2;1;2019/2020;23/11/2019
Granada;Atlético;1;1;2019/2020;23/11/2019
Real Madrid;R. Sociedad;3;1;2019/2020;23/11/2019
Espanyol;Getafe;1;1;2019/2020;24/11/2019
Osasuna;Athletic;1;2;2019/2020;24/11/2019
Eibar;Alavés;0;2;2019/2020;24/11/2019
Villarreal;Celta;1;3;2019/2020;24/11/2019
Real Valladolid;Sevilla;0;1;2019/2020;24/11/2019
Celta;Real Valladolid;0;0;2019/2020;29/11/2019
Alavés;Real Madrid;1;2;2019/2020;30/11/2019
R. Sociedad;Eibar;4;1;2019/2020;30/11/2019
Mallorca;Betis;1;2;2019/2020;30/11/2019
Valencia;Villarreal;2;1;2019/2020;30/11/2019
Sevilla;Leganés;1;0;2019/2020;01/12/2019
Athletic;Granada;2;0;2019/2020;
Espanyol;Osasuna;2;4;2019/2020;
Getafe;Levante;4;0;2019/2020;
Atlético;Barcelona;0;1;2019/2020;
Villarreal;Atlético;0;0;2019/2020;
Real Madrid;Espanyol;2;0;2019/2020;
Granada;Alavés;3;0;2019/2020;
Levante;Valencia;2;4;2019/2020;
Barcelona;Mallorca;5;2;2019/2020;
Eibar;Getafe;0;1;2019/2020;
Betis;Athletic;3;2;2019/2020;
Real Valladolid;R. Sociedad;0;0;2019/2020;
Leganés;Celta;3;2;2019/2020;
Osasuna;Sevilla;1;1;2019/2020;
Alavés;Leganés;1;1;2019/2020;
Granada;Levante;1;2;2019/2020;
R. Sociedad;Barcelona;2;2;2019/2020;
Athletic;Eibar;0;0;2019/2020;
Atlético;Osasuna;2;0;2019/2020;
Getafe;Real Valladolid;2;0;2019/2020;
Celta;Mallorca;2;2;2019/2020;
Espanyol;Betis;2;2;2019/2020;
Sevilla;Villarreal;1;2;2019/2020;
Valencia;Real Madrid;1;1;2019/2020;
Eibar;Granada;3;0;2019/2020;
Mallorca;Sevilla;0;2;2019/2020;
Barcelona;Alavés;4;1;2019/2020;
Villarreal;Getafe;1;0;2019/2020;
Real Valladolid;Valencia;1;1;2019/2020;
Leganés;Espanyol;2;0;2019/2020;22/12/2019
Osasuna;R. Sociedad;3;4;2019/2020;22/12/2019
Betis;Atlético;1;2;2019/2020;22/12/2019
Levante;Celta;3;1;2019/2020;22/12/2019
Real Madrid;Athletic;0;0;2019/2020;22/12/2019
Real Valladolid;Leganés;2;2;2019/2020;03/01/2020
Sevilla;Athletic;1;1;2019/2020;03/01/2020
Valencia;Eibar;1;0;2019/2020;04/01/2020
Getafe;Real Madrid;0;3;2019/2020;04/01/2020
Atlético;Levante;2;1;2019/2020;04/01/2020
Espanyol;Barcelona;2;2;2019/2020;04/01/2020
Granada;Mallorca;1;0;2019/2020;05/01/2020
R. Sociedad;Villarreal;1;2;2019/2020;05/01/2020
Alavés;Betis;1;1;2019/2020;05/01/2020
Celta;Osasuna;1;1;2019/2020;05/01/2020
Leganés;Getafe;0;3;2019/2020;17/01/2020
Levante;Alavés;0;1;2019/2020;18/01/2020
Real Madrid;Sevilla;2;1;2019/2020;18/01/2020
Osasuna;Real Valladolid;0;0;2019/2020;18/01/2020
Eibar;Atlético;2;0;2019/2020;18/01/2020
Mallorca;Valencia;4;1;2019/2020;19/01/2020
Betis;R. Sociedad;3;0;2019/2020;19/01/2020
Villarreal;Espanyol;1;2;2019/2020;19/01/2020
Athletic;Celta;1;1;2019/2020;19/01/2020
Barcelona;Granada;1;0;2019/2020;19/01/2020
Osasuna;Levante;2;0;2019/2020;24/01/2020
Espanyol;Athletic;1;1;2019/2020;25/01/2020
Valencia;Barcelona;2;0;2019/2020;25/01/2020
Alavés;Villarreal;1;2;2019/2020;25/01/2020
Sevilla;Granada;2;0;2019/2020;25/01/2020
Atlético;Leganés;0;0;2019/2020;26/01/2020
Celta;Eibar;0;0;2019/2020;26/01/2020
Getafe;Betis;1;0;2019/2020;26/01/2020
R. Sociedad;Mallorca;3;0;2019/2020;26/01/2020
Real Valladolid;Real Madrid;0;1;2019/2020;26/01/2020
Granada;Espanyol;2;1;2019/2020;01/02/2020
Real Madrid;Atlético;1;0;2019/2020;01/02/2020
Mallorca;Real Valladolid;0;1;2019/2020;01/02/2020
Valencia;Celta;1;0;2019/2020;01/02/2020
Leganés;R. Sociedad;2;1;2019/2020;02/02/2020
Eibar;Betis;1;1;2019/2020;02/02/2020
Athletic;Getafe;0;2;2019/2020;02/02/2020
Sevilla;Alavés;1;1;2019/2020;02/02/2020
Villarreal;Osasuna;3;1;2019/2020;02/02/2020
Barcelona;Levante;2;1;2019/2020;02/02/2020
Alavés;Eibar;2;1;2019/2020;07/02/2020
Levante;Leganés;2;0;2019/2020;08/02/2020
Getafe;Valencia;3;0;2019/2020;08/02/2020
Real Valladolid;Villarreal;1;1;2019/2020;08/02/2020
Atlético;Granada;1;0;2019/2020;08/02/2020
Espanyol;Mallorca;1;0;2019/2020;09/02/2020
R. Sociedad;Athletic;2;1;2019/2020;09/02/2020
Osasuna;Real Madrid;1;4;2019/2020;09/02/2020
Celta;Sevilla;2;1;2019/2020;09/02/2020
Betis;Barcelona;2;3;2019/2020;09/02/2020
Valencia;Atlético;2;2;2019/2020;14/02/2020
Mallorca;Alavés;1;0;2019/2020;15/02/2020
Barcelona;Getafe;2;1;2019/2020;15/02/2020
Villarreal;Levante;2;1;2019/2020;15/02/2020
Granada;Real Valladolid;2;1;2019/2020;15/02/2020
Sevilla;Espanyol;2;2;2019/2020;16/02/2020
Leganés;Betis;0;0;2019/2020;16/02/2020
Athletic;Osasuna;0;1;2019/2020;16/02/2020
Real Madrid;Celta;2;2;2019/2020;16/02/2020
Eibar;R. Sociedad;1;2;2019/2020;10/03/2020
Betis;Mallorca;3;3;2019/2020;21/02/2020
Celta;Leganés;1;0;2019/2020;22/02/2020
Barcelona;Eibar;5;0;2019/2020;22/02/2020
R. Sociedad;Valencia;3;0;2019/2020;22/02/2020
Levante;Real Madrid;1;0;2019/2020;22/02/2020
Osasuna;Granada;0;3;2019/2020;23/02/2020
Alavés;Athletic;2;1;2019/2020;23/02/2020
Real Valladolid;Espanyol;2;1;2019/2020;23/02/2020
Getafe;Sevilla;0;3;2019/2020;23/02/2020
Atlético;Villarreal;3;1;2019/2020;23/02/2020
R. Sociedad;Real Valladolid;1;0;2019/2020;28/02/2020
Eibar;Levante;3;0;2019/2020;29/02/2020
Valencia;Betis;2;1;2019/2020;29/02/2020
Leganés;Alavés;1;1;2019/2020;29/02/2020
Granada;Celta;0;0;2019/2020;29/02/2020
Sevilla;Osasuna;3;2;2019/2020;01/03/2020
Athletic;Villarreal;1;0;2019/2020;01/03/2020
Espanyol;Atlético;1;1;2019/2020;01/03/2020
Mallorca;Getafe;0;1;2019/2020;01/03/2020
Real Madrid;Barcelona;2;0;2019/2020;01/03/2020
Alavés;Valencia;1;1;2019/2020;06/03/2020
Eibar;Mallorca;1;2;2019/2020;07/03/2020
Atlético;Sevilla;2;2;2019/2020;07/03/2020
Barcelona;R. Sociedad;1;0;2019/2020;07/03/2020
Getafe;Celta;0;0;2019/2020;07/03/2020
Osasuna;Espanyol;1;0;2019/2020;08/03/2020
Real Valladolid;Athletic;1;4;2019/2020;08/03/2020
Levante;Granada;1;1;2019/2020;08/03/2020
Villarreal;Leganés;1;2;2019/2020;08/03/2020
Betis;Real Madrid;2;1;2019/2020;08/03/2020
Sevilla;Betis;2;0;2019/2020;11/06/2020
Granada;Getafe;2;1;2019/2020;12/06/2020
Valencia;Levante;1;1;2019/2020;12/06/2020
Espanyol;Alavés;2;0;2019/2020;13/06/2020
Celta;Villarreal;0;1;2019/2020;13/06/2020
Leganés;Real Valladolid;1;2;2019/2020;13/06/2020
Mallorca;Barcelona;0;4;2019/2020;13/06/2020
Athletic;Atlético;1;1;2019/2020;14/06/2020
Real Madrid;Eibar;3;1;2019/2020;14/06/2020
R. Sociedad;Osasuna;1;1;2019/2020;14/06/2020
Levante;Sevilla;1;1;2019/2020;15/06/2020
Betis;Granada;2;2;2019/2020;15/06/2020
Getafe;Espanyol;0;0;2019/2020;16/06/2020
Villarreal;Mallorca;1;0;2019/2020;16/06/2020
Barcelona;Leganés;2;0;2019/2020;16/06/2020
Eibar;Athletic;2;2;2019/2020;17/06/2020
Real Valladolid;Celta;0;0;2019/2020;17/06/2020
Osasuna;Atlético;0;5;2019/2020;17/06/2020
Alavés;R. Sociedad;2;0;2019/2020;18/06/2020
Real Madrid;Valencia;3;0;2019/2020;18/06/2020
Mallorca;Leganés;1;1;2019/2020;19/06/2020
Granada;Villarreal;0;1;2019/2020;19/06/2020
Sevilla;Barcelona;0;0;2019/2020;19/06/2020
Espanyol;Levante;1;3;2019/2020;20/06/2020
Athletic;Betis;1;0;2019/2020;20/06/2020
Getafe;Eibar;1;1;2019/2020;20/06/2020
Atlético;Real Valladolid;1;0;2019/2020;20/06/2020
Celta;Alavés;6;0;2019/2020;21/06/2020
Valencia;Osasuna;2;0;2019/2020;21/06/2020
R. Sociedad;Real Madrid;1;2;2019/2020;21/06/2020
Villarreal;Sevilla;2;2;2019/2020;22/06/2020
Leganés;Granada;0;0;2019/2020;22/06/2020
Levante;Atlético;0;1;2019/2020;23/06/2020
Real Valladolid;Getafe;1;1;2019/2020;23/06/2020
Barcelona;Athletic;1;0;2019/2020;23/06/2020
Alavés;Osasuna;0;1;2019/2020;24/06/2020
R. Sociedad;Celta;0;1;2019/2020;24/06/2020
Real Madrid;Mallorca;2;0;2019/2020;24/06/2020
Eibar;Valencia;1;0;2019/2020;25/06/2020
Betis;Espanyol;1;0;2019/2020;25/06/2020
Sevilla;Real Valladolid;1;1;2019/2020;26/06/2020
Athletic;Mallorca;3;1;2019/2020;27/06/2020
Celta;Barcelona;2;2;2019/2020;27/06/2020
Osasuna;Leganés;2;1;2019/2020;27/06/2020
Atlético;Alavés;2;1;2019/2020;27/06/2020
Levante;Betis;4;2;2019/2020;28/06/2020
Villarreal;Valencia;2;0;2019/2020;28/06/2020
Granada;Eibar;1;2;2019/2020;28/06/2020
Espanyol;Real Madrid;0;1;2019/2020;28/06/2020
Getafe;R. Sociedad;2;1;2019/2020;29/06/2020
Mallorca;Celta;5;1;2019/2020;30/06/2020
Leganés;Sevilla;0;3;2019/2020;30/06/2020
Barcelona;Atlético;2;2;2019/2020;30/06/2020
Alavés;Granada;0;2;2019/2020;01/07/2020
Valencia;Athletic;0;2;2019/2020;01/07/2020
Betis;Villarreal;0;2;2019/2020;01/07/2020
Real Valladolid;Levante;0;0;2019/2020;01/07/2020
Eibar;Osasuna;0;2;2019/2020;02/07/2020
R. Sociedad;Espanyol;2;1;2019/2020;02/07/2020
Real Madrid;Getafe;1;0;2019/2020;02/07/2020
Atlético;Mallorca;3;0;2019/2020;03/07/2020
Celta;Betis;1;1;2019/2020;04/07/2020
Real Valladolid;Alavés;1;0;2019/2020;04/07/2020
Granada;Valencia;2;2;2019/2020;04/07/2020
Athletic;Real Madrid;0;1;2019/2020;05/07/2020
Espanyol;Leganés;0;1;2019/2020;05/07/2020
Osasuna;Getafe;0;0;2019/2020;05/07/2020
Villarreal;Barcelona;1;4;2019/2020;06/07/2020
Levante;R. Sociedad;1;1;2019/2020;06/07/2020
Sevilla;Eibar;1;0;2019/2020;06/07/2020
Valencia;Real Valladolid;2;1;2019/2020;07/07/2020
Celta;Atlético;1;1;2019/2020;07/07/2020
Betis;Osasuna;3;0;2019/2020;08/07/2020
Getafe;Villarreal;1;3;2019/2020;08/07/2020
Barcelona;Espanyol;1;0;2019/2020;08/07/2020
Eibar;Leganés;0;0;2019/2020;09/07/2020
Mallorca;Levante;2;0;2019/2020;09/07/2020
Athletic;Sevilla;1;2;2019/2020;09/07/2020
R. Sociedad;Granada;2;3;2019/2020;10/07/2020
Real Madrid;Alavés;2;0;2019/2020;10/07/2020
Osasuna;Celta;2;1;2019/2020;11/07/2020
Real Valladolid;Barcelona;0;1;2019/2020;11/07/2020
Atlético;Betis;1;0;2019/2020;11/07/2020
Espanyol;Eibar;0;2;2019/2020;12/07/2020
Levante;Athletic;1;2;2019/2020;12/07/2020
Leganés;Valencia;1;0;2019/2020;12/07/2020
Sevilla;Mallorca;2;0;2019/2020;12/07/2020
Alavés;Getafe;0;0;2019/2020;13/07/2020
Villarreal;R. Sociedad;1;2;2019/2020;13/07/2020
Granada;Real Madrid;1;2;2019/2020;13/07/2020
Eibar;Real Valladolid;3;1;2019/2020;16/07/2020
Athletic;Leganés;0;2;2019/2020;16/07/2020
Barcelona;Osasuna;1;2;2019/2020;16/07/2020
Betis;Alavés;1;2;2019/2020;16/07/2020
Real Madrid;Villarreal;2;1;2019/2020;16/07/2020
Valencia;Espanyol;1;0;2019/2020;16/07/2020
Mallorca;Granada;1;2;2019/2020;16/07/2020
Getafe;Atlético;0;2;2019/2020;16/07/2020
Celta;Levante;2;3;2019/2020;16/07/2020
R. Sociedad;Sevilla;0;0;2019/2020;16/07/2020
Alavés;Barcelona;0;5;2019/2020;19/07/2020
Villarreal;Eibar;4;0;2019/2020;19/07/2020
Real Valladolid;Betis;2;0;2019/2020;19/07/2020
Espanyol;Celta;0;0;2019/2020;19/07/2020
Osasuna;Mallorca;2;2;2019/2020;19/07/2020
Levante;Getafe;1;0;2019/2020;19/07/2020
Sevilla;Valencia;1;0;2019/2020;19/07/2020
Leganés;Real Madrid;2;2;2019/2020;19/07/2020
Granada;Athletic;4;0;2019/2020;19/07/2020
Atlético;R. Sociedad;1;1;2019/2020;19/07/2020
Eibar;Celta;0;0;2020/2021;12/09/2020
Granada;Athletic;2;0;2020/2021;12/09/2020
Cádiz;Osasuna;0;2;2020/2021;12/09/2020
Alavés;Betis;0;1;2020/2021;13/09/2020
Real Valladolid;R. Sociedad;1;1;2020/2021;13/09/2020
Villarreal;Huesca;1;1;2020/2021;13/09/2020
Valencia;Levante;4;2;2020/2021;13/09/2020
Atlético;Sevilla;2;0;2020/2021;12/01/2021
Real Madrid;Getafe;2;0;2020/2021;09/02/2021
Barcelona;Elche;3;0;2020/2021;24/02/2021
Villarreal;Eibar;2;1;2020/2021;19/09/2020
Getafe;Osasuna;1;0;2020/2021;19/09/2020
Celta;Valencia;2;1;2020/2021;19/09/2020
Huesca;Cádiz;0;2;2020/2021;20/09/2020
Betis;Real Valladolid;2;0;2020/2021;20/09/2020
Granada;Alavés;2;1;2020/2021;20/09/2020
R. Sociedad;Real Madrid;0;0;2020/2021;20/09/2020
Athletic;Barcelona;2;3;2020/2021;06/01/2021
Levante;Atlético;1;1;2020/2021;17/02/2021
Sevilla;Elche;2;0;2020/2021;17/03/2021
Alavés;Getafe;0;0;2020/2021;26/09/2020
Valencia;Huesca;1;1;2020/2021;26/09/2020
Elche;R. Sociedad;0;3;2020/2021;26/09/2020
Betis;Real Madrid;2;3;2020/2021;26/09/2020
Osasuna;Levante;1;3;2020/2021;27/09/2020
Eibar;Athletic;1;2;2020/2021;27/09/2020
Atlético;Granada;6;1;2020/2021;27/09/2020
Cádiz;Sevilla;1;3;2020/2021;27/09/2020
Real Valladolid;Celta;1;1;2020/2021;27/09/2020
Barcelona;Villarreal;4;0;2020/2021;27/09/2020
R. Sociedad;Valencia;0;1;2020/2021;29/09/2020
Getafe;Betis;3;0;2020/2021;29/09/2020
Huesca;Atlético;0;0;2020/2021;30/09/2020
Villarreal;Alavés;3;1;2020/2021;30/09/2020
Eibar;Elche;0;1;2020/2021;30/09/2020
Real Madrid;Real Valladolid;1;0;2020/2021;30/09/2020
Sevilla;Levante;1;0;2020/2021;01/10/2020
Athletic;Cádiz;0;1;2020/2021;01/10/2020
Celta;Barcelona;0;3;2020/2021;01/10/2020
Granada;Osasuna;2;0;2020/2021;12/01/2021
Real Valladolid;Eibar;1;2;2020/2021;03/10/2020
Atlético;Villarreal;0;0;2020/2021;03/10/2020
Elche;Huesca;0;0;2020/2021;03/10/2020
R. Sociedad;Getafe;3;0;2020/2021;03/10/2020
Valencia;Betis;0;2;2020/2021;03/10/2020
Osasuna;Celta;2;0;2020/2021;04/10/2020
Alavés;Athletic;1;0;2020/2021;04/10/2020
Levante;Real Madrid;0;2;2020/2021;04/10/2020
Cádiz;Granada;1;1;2020/2021;04/10/2020
Barcelona;Sevilla;1;1;2020/2021;04/10/2020
Granada;Sevilla;1;0;2020/2021;17/10/2020
Celta;Atlético;0;2;2020/2021;17/10/2020
Real Madrid;Cádiz;0;1;2020/2021;17/10/2020
Getafe;Barcelona;1;0;2020/2021;17/10/2020
Eibar;Osasuna;0;0;2020/2021;18/10/2020
Athletic;Levante;2;0;2020/2021;18/10/2020
Villarreal;Valencia;2;1;2020/2021;18/10/2020
Alavés;Elche;0;2;2020/2021;18/10/2020
Huesca;Real Valladolid;2;2;2020/2021;18/10/2020
Betis;R. Sociedad;0;3;2020/2021;18/10/2020
Elche;Valencia;2;1;2020/2021;23/10/2020
Barcelona;Real Madrid;1;3;2020/2021;24/10/2020
Osasuna;Athletic;1;0;2020/2021;24/10/2020
Sevilla;Eibar;0;1;2020/2021;24/10/2020
Atlético;Betis;2;0;2020/2021;24/10/2020
Real Valladolid;Alavés;0;2;2020/2021;25/10/2020
Cádiz;Villarreal;0;0;2020/2021;25/10/2020
Getafe;Granada;0;1;2020/2021;25/10/2020
R. Sociedad;Huesca;4;1;2020/2021;25/10/2020
Levante;Celta;1;1;2020/2021;26/10/2020
Eibar;Cádiz;0;2;2020/2021;30/10/2020
Real Madrid;Huesca;4;1;2020/2021;31/10/2020
Athletic;Sevilla;2;1;2020/2021;31/10/2020
Osasuna;Atlético;1;3;2020/2021;31/10/2020
Alavés;Barcelona;1;1;2020/2021;31/10/2020
Betis;Elche;3;1;2020/2021;01/11/2020
Celta;R. Sociedad;1;4;2020/2021;01/11/2020
Granada;Levante;1;1;2020/2021;01/11/2020
Valencia;Getafe;2;2;2020/2021;01/11/2020
Villarreal;Real Valladolid;2;0;2020/2021;02/11/2020
Elche;Celta;1;1;2020/2021;06/11/2020
Huesca;Eibar;1;1;2020/2021;07/11/2020
Barcelona;Betis;5;2;2020/2021;07/11/2020
Sevilla;Osasuna;1;0;2020/2021;07/11/2020
Atlético;Cádiz;4;0;2020/2021;07/11/2020
Getafe;Villarreal;1;3;2020/2021;08/11/2020
R. Sociedad;Granada;2;0;2020/2021;08/11/2020
Real Valladolid;Athletic;2;1;2020/2021;08/11/2020
Levante;Alavés;1;1;2020/2021;08/11/2020
Valencia;Real Madrid;4;1;2020/2021;08/11/2020
Osasuna;Huesca;1;1;2020/2021;20/11/2020
Levante;Elche;1;1;2020/2021;21/11/2020
Villarreal;Real Madrid;1;1;2020/2021;21/11/2020
