Equipo;Local/Visitante;Goles_Locales;Suma_Goles_Locales_Acumulados;Goles_Visitantes;Suma_Goles_Visitantes_Acumulados;Puntos_Locales;Puntos_Locales_Acumulados;Puntos_Visitantes;Puntos_Visitantes_Acumulados;Victorias_Locales_Acumuladas;Empates_Locales_Acumulados;Derrotas_Locales_Acumuladas;Victorias_Acumuladas_Visitantes;Empates_Acumulados_Visitantes;Derrotas_Acumuladas_Visitantes;Descenso;Resultados;Fecha;Temporada
Celta;Visitante;0;0;2;7;0;0;3;10;0;0;0;1;0;0;No;2;18/10/2015;2015/2016
Sporting Gijón;Local;3;4;0;0;1;2;0;0;0;1;0;0;0;0;No;x;19/10/2015;2015/2016
Granada;Visitante;0;0;3;5;0;0;1;4;0;0;0;0;1;0;No;x;19/10/2015;2015/2016
Rayo;Local;3;6;0;0;3;7;0;0;1;0;0;0;0;0;Si;1;23/10/2015;2015/2016
Espanyol;Visitante;0;0;0;7;0;0;0;6;0;0;0;0;0;1;No;1;23/10/2015;2015/2016
Celta;Local;1;11;0;0;0;8;0;0;0;0;1;0;0;0;No;2;24/10/2015;2015/2016
Real Madrid;Visitante;0;0;3;12;0;0;3;11;0;0;0;1;0;0;No;2;24/10/2015;2015/2016
Granada;Local;1;4;0;0;1;2;0;0;0;2;0;0;0;0;No;x;24/10/2015;2015/2016
Betis;Visitante;0;0;1;5;0;0;1;8;0;0;0;0;1;0;No;x;24/10/2015;2015/2016
Málaga;Local;2;5;0;0;3;8;0;0;2;0;0;0;0;0;No;1;24/10/2015;2015/2016
Deportivo;Visitante;0;0;0;7;0;0;0;8;0;0;0;0;0;1;No;1;24/10/2015;2015/2016
Sevilla;Local;5;11;0;0;3;9;0;0;3;0;0;0;0;0;No;1;24/10/2015;2015/2016
Getafe;Visitante;0;0;0;1;0;0;0;1;0;0;0;0;0;1;Si;1;24/10/2015;2015/2016
Atlético;Local;2;7;0;0;3;10;0;0;1;0;0;0;0;0;No;1;25/10/2015;2015/2016
Valencia;Visitante;0;0;1;3;0;0;0;4;0;0;0;0;0;3;No;1;25/10/2015;2015/2016
Barcelona;Local;3;15;0;0;3;15;0;0;5;0;0;0;0;0;No;1;25/10/2015;2015/2016
Eibar;Visitante;0;0;1;8;0;0;0;8;0;0;0;0;0;1;No;1;25/10/2015;2015/2016
Las Palmas;Local;0;2;0;0;1;5;0;0;0;1;0;0;0;0;No;x;25/10/2015;2015/2016
Villarreal;Visitante;0;0;0;5;0;0;1;8;0;0;0;0;1;0;No;x;25/10/2015;2015/2016
Levante;Local;0;5;0;0;0;5;0;0;0;0;1;0;0;0;Si;2;25/10/2015;2015/2016
R. Sociedad;Visitante;0;0;4;8;0;0;3;7;0;0;0;1;0;0;No;2;25/10/2015;2015/2016
Athletic;Local;3;10;0;0;3;9;0;0;2;0;0;0;0;0;No;1;26/10/2015;2015/2016
Sporting Gijón;Visitante;0;0;0;6;0;0;0;7;0;0;0;0;0;1;No;1;26/10/2015;2015/2016
Deportivo;Local;1;8;0;0;1;6;0;0;0;2;0;0;0;0;No;x;30/10/2015;2015/2016
Atlético;Visitante;0;0;1;8;0;0;1;10;0;0;0;0;1;0;No;x;30/10/2015;2015/2016
Getafe;Local;0;9;0;0;0;9;0;0;0;0;1;0;0;0;Si;2;31/10/2015;2015/2016
Barcelona;Visitante;0;0;2;7;0;0;3;9;0;0;0;1;0;0;No;2;31/10/2015;2015/2016
Real Madrid;Local;3;12;0;0;3;13;0;0;2;0;0;0;0;0;No;1;31/10/2015;2015/2016
Las Palmas;Visitante;0;0;1;5;0;0;0;1;0;0;0;0;0;3;No;1;31/10/2015;2015/2016
R. Sociedad;Local;2;4;0;0;0;2;0;0;0;0;2;0;0;0;No;2;31/10/2015;2015/2016
Celta;Visitante;0;0;3;10;0;0;3;13;0;0;0;2;0;0;No;2;31/10/2015;2015/2016
Valencia;Local;3;8;0;0;3;11;0;0;3;0;0;0;0;0;No;1;31/10/2015;2015/2016
Levante;Visitante;0;0;0;1;0;0;0;1;0;0;0;0;0;4;Si;1;31/10/2015;2015/2016
Villarreal;Local;2;10;0;0;3;12;0;0;1;0;0;0;0;0;No;1;31/10/2015;2015/2016
Sevilla;Visitante;0;0;1;3;0;0;0;3;0;0;0;0;0;1;No;1;31/10/2015;2015/2016
Betis;Local;1;5;0;0;0;4;0;0;0;0;3;0;0;0;No;2;01/11/2015;2015/2016
Athletic;Visitante;0;0;3;6;0;0;3;5;0;0;0;1;0;0;No;2;01/11/2015;2015/2016
Eibar;Local;1;5;0;0;3;8;0;0;1;0;0;0;0;0;No;1;01/11/2015;2015/2016
Rayo;Visitante;0;0;0;5;0;0;0;3;0;0;0;0;0;3;Si;1;01/11/2015;2015/2016
Espanyol;Local;1;4;0;0;1;7;0;0;0;1;0;0;0;0;No;x;01/11/2015;2015/2016
Granada;Visitante;0;0;1;6;0;0;1;5;0;0;0;0;2;0;No;x;01/11/2015;2015/2016
Sporting Gijón;Local;1;5;0;0;3;5;0;0;1;0;0;0;0;0;No;1;01/11/2015;2015/2016
Málaga;Visitante;0;0;0;0;0;0;0;1;0;0;0;0;0;2;No;1;01/11/2015;2015/2016
Las Palmas;Local;2;4;0;0;3;8;0;0;1;0;0;0;0;0;No;1;06/11/2015;2015/2016
R. Sociedad;Visitante;0;0;0;8;0;0;0;7;0;0;0;0;0;1;No;1;06/11/2015;2015/2016
Celta;Local;1;12;0;0;0;8;0;0;0;0;2;0;0;0;No;2;07/11/2015;2015/2016
Valencia;Visitante;0;0;5;8;0;0;3;7;0;0;0;1;0;0;No;2;07/11/2015;2015/2016
Eibar;Local;3;8;0;0;3;11;0;0;2;0;0;0;0;0;No;1;07/11/2015;2015/2016
Getafe;Visitante;0;0;1;2;0;0;0;1;0;0;0;0;0;2;Si;1;07/11/2015;2015/2016
Levante;Local;1;6;0;0;1;6;0;0;0;1;0;0;0;0;Si;x;07/11/2015;2015/2016
Deportivo;Visitante;0;0;1;8;0;0;1;9;0;0;0;0;1;0;No;x;07/11/2015;2015/2016
Málaga;Local;0;5;0;0;0;8;0;0;0;0;1;0;0;0;No;2;07/11/2015;2015/2016
Betis;Visitante;0;0;1;6;0;0;3;11;0;0;0;1;0;0;No;2;07/11/2015;2015/2016
Rayo;Local;2;8;0;0;3;10;0;0;2;0;0;0;0;0;Si;1;07/11/2015;2015/2016
Granada;Visitante;0;0;1;7;0;0;0;5;0;0;0;0;0;1;No;1;07/11/2015;2015/2016
Athletic;Local;2;12;0;0;3;12;0;0;3;0;0;0;0;0;No;1;08/11/2015;2015/2016
Espanyol;Visitante;0;0;1;8;0;0;0;6;0;0;0;0;0;2;No;1;08/11/2015;2015/2016
Atlético;Local;1;8;0;0;3;13;0;0;2;0;0;0;0;0;No;1;08/11/2015;2015/2016
Sporting Gijón;Visitante;0;0;0;6;0;0;0;7;0;0;0;0;0;2;No;1;08/11/2015;2015/2016
Barcelona;Local;3;18;0;0;3;18;0;0;6;0;0;0;0;0;No;1;08/11/2015;2015/2016
Villarreal;Visitante;0;0;0;5;0;0;0;8;0;0;0;0;0;1;No;1;08/11/2015;2015/2016
Sevilla;Local;3;14;0;0;3;12;0;0;4;0;0;0;0;0;No;1;08/11/2015;2015/2016
Real Madrid;Visitante;0;0;2;14;0;0;0;11;0;0;0;0;0;1;No;1;08/11/2015;2015/2016
Espanyol;Local;2;6;0;0;3;10;0;0;1;0;0;0;0;0;No;1;21/11/2015;2015/2016
Málaga;Visitante;0;0;0;0;0;0;0;1;0;0;0;0;0;1;No;1;21/11/2015;2015/2016
Deportivo;Local;2;10;0;0;3;9;0;0;1;0;0;0;0;0;No;1;21/11/2015;2015/2016
Celta;Visitante;0;0;0;10;0;0;0;13;0;0;0;0;0;1;No;1;21/11/2015;2015/2016
Real Madrid;Local;0;12;0;0;0;13;0;0;0;0;1;0;0;0;No;2;21/11/2015;2015/2016
Barcelona;Visitante;0;0;4;11;0;0;3;12;0;0;0;2;0;0;No;2;21/11/2015;2015/2016
R. Sociedad;Local;2;6;0;0;3;5;0;0;1;0;0;0;0;0;No;1;21/11/2015;2015/2016
Sevilla;Visitante;0;0;0;3;0;0;0;3;0;0;0;0;0;2;No;1;21/11/2015;2015/2016
Valencia;Local;1;9;0;0;1;12;0;0;0;1;0;0;0;0;No;x;21/11/2015;2015/2016
Las Palmas;Visitante;0;0;1;6;0;0;1;2;0;0;0;0;1;0;No;x;21/11/2015;2015/2016
Betis;Local;0;5;0;0;0;4;0;0;0;0;4;0;0;0;No;2;22/11/2015;2015/2016
Atlético;Visitante;0;0;1;9;0;0;3;13;0;0;0;1;0;0;No;2;22/11/2015;2015/2016
