Equipo;Local/Visitante;Goles_Locales;Suma_Goles_Locales_Acumulados;Goles_Visitantes;Suma_Goles_Visitantes_Acumulados;Puntos_Locales;Puntos_Locales_Acumulados;Puntos_Visitantes;Puntos_Visitantes_Acumulados;Victorias_Locales_Acumuladas;Empates_Locales_Acumulados;Derrotas_Locales_Acumuladas;Victorias_Acumuladas_Visitantes;Empates_Acumulados_Visitantes;Derrotas_Acumuladas_Visitantes;Descenso;Resultados;Fecha;Temporada
Betis;Local;0;4;0;0;0;3;0;0;0;0;2;0;0;0;No;2;18/10/2020;2020/2021
R. Sociedad;Visitante;0;0;3;7;0;0;3;7;0;0;0;2;0;0;No;2;18/10/2020;2020/2021
Elche;Local;2;2;0;0;3;4;0;0;1;0;0;0;0;0;No;1;23/10/2020;2020/2021
Valencia;Visitante;0;0;1;4;0;0;0;3;0;0;0;0;0;2;No;1;23/10/2020;2020/2021
Barcelona;Local;1;9;0;0;0;7;0;0;0;0;1;0;0;0;No;2;24/10/2020;2020/2021
Real Madrid;Visitante;0;0;3;8;0;0;3;10;0;0;0;3;0;0;No;2;24/10/2020;2020/2021
Osasuna;Local;1;4;0;0;3;6;0;0;2;0;0;0;0;0;No;1;24/10/2020;2020/2021
Athletic;Visitante;0;0;0;2;0;0;0;3;0;0;0;0;0;2;No;1;24/10/2020;2020/2021
Sevilla;Local;0;3;0;0;0;6;0;0;0;0;1;0;0;0;No;2;24/10/2020;2020/2021
Eibar;Visitante;0;0;1;4;0;0;3;6;0;0;0;2;0;0;Si;2;24/10/2020;2020/2021
Atlético;Local;2;10;0;0;3;10;0;0;1;0;0;0;0;0;No;1;24/10/2020;2020/2021
Betis;Visitante;0;0;0;3;0;0;0;6;0;0;0;0;0;1;No;1;24/10/2020;2020/2021
Real Valladolid;Local;0;3;0;0;0;2;0;0;0;0;2;0;0;0;Si;2;25/10/2020;2020/2021
Alavés;Visitante;0;0;2;4;0;0;3;3;0;0;0;1;0;0;No;2;25/10/2020;2020/2021
Cádiz;Local;0;2;0;0;1;2;0;0;0;2;0;0;0;0;No;x;25/10/2020;2020/2021
Villarreal;Visitante;0;0;0;0;0;0;1;2;0;0;0;0;2;0;No;x;25/10/2020;2020/2021
Getafe;Local;0;5;0;0;0;9;0;0;0;0;1;0;0;0;No;2;25/10/2020;2020/2021
Granada;Visitante;0;0;1;3;0;0;3;4;0;0;0;1;0;0;No;2;25/10/2020;2020/2021
R. Sociedad;Local;4;7;0;0;3;7;0;0;2;0;0;0;0;0;No;1;25/10/2020;2020/2021
Huesca;Visitante;0;0;1;3;0;0;0;3;0;0;0;0;0;1;Si;1;25/10/2020;2020/2021
Levante;Local;1;2;0;0;1;2;0;0;0;1;0;0;0;0;No;x;26/10/2020;2020/2021
Celta;Visitante;0;0;1;2;0;0;1;3;0;0;0;0;1;0;No;x;26/10/2020;2020/2021
Eibar;Local;0;1;0;0;0;2;0;0;0;0;1;0;0;0;Si;2;30/10/2020;2020/2021
Cádiz;Visitante;0;0;2;6;0;0;3;12;0;0;0;4;0;0;No;2;30/10/2020;2020/2021
Real Madrid;Local;4;7;0;0;3;9;0;0;1;0;0;0;0;0;No;1;31/10/2020;2020/2021
Huesca;Visitante;0;0;1;4;0;0;0;3;0;0;0;0;0;2;Si;1;31/10/2020;2020/2021
Athletic;Local;2;6;0;0;3;6;0;0;2;0;0;0;0;0;No;1;31/10/2020;2020/2021
Sevilla;Visitante;0;0;1;5;0;0;0;4;0;0;0;0;0;2;No;1;31/10/2020;2020/2021
Osasuna;Local;1;5;0;0;0;6;0;0;0;0;1;0;0;0;No;2;31/10/2020;2020/2021
Atlético;Visitante;0;0;3;6;0;0;3;8;0;0;0;2;0;0;No;2;31/10/2020;2020/2021
Alavés;Local;1;2;0;0;1;5;0;0;0;1;0;0;0;0;No;x;31/10/2020;2020/2021
Barcelona;Visitante;0;0;1;7;0;0;1;8;0;0;0;0;1;0;No;x;31/10/2020;2020/2021
Betis;Local;3;7;0;0;3;6;0;0;1;0;0;0;0;0;No;1;01/11/2020;2020/2021
Elche;Visitante;0;0;1;4;0;0;0;6;0;0;0;0;0;1;No;1;01/11/2020;2020/2021
Celta;Local;1;3;0;0;0;3;0;0;0;0;3;0;0;0;No;2;01/11/2020;2020/2021
R. Sociedad;Visitante;0;0;4;11;0;0;3;10;0;0;0;3;0;0;No;2;01/11/2020;2020/2021
Granada;Local;1;8;0;0;1;13;0;0;0;1;0;0;0;0;No;x;01/11/2020;2020/2021
Levante;Visitante;0;0;1;6;0;0;1;4;0;0;0;0;1;0;No;x;01/11/2020;2020/2021
Valencia;Local;2;7;0;0;1;5;0;0;0;1;0;0;0;0;No;x;01/11/2020;2020/2021
Getafe;Visitante;0;0;2;2;0;0;1;2;0;0;0;0;1;0;No;x;01/11/2020;2020/2021
Villarreal;Local;2;10;0;0;3;13;0;0;4;0;0;0;0;0;No;1;02/11/2020;2020/2021
Real Valladolid;Visitante;0;0;0;2;0;0;0;1;0;0;0;0;0;1;Si;1;02/11/2020;2020/2021
Elche;Local;1;3;0;0;1;5;0;0;0;1;0;0;0;0;No;x;06/11/2020;2020/2021
Celta;Visitante;0;0;1;3;0;0;1;4;0;0;0;0;2;0;No;x;06/11/2020;2020/2021
Huesca;Local;1;3;0;0;1;3;0;0;0;3;0;0;0;0;Si;x;07/11/2020;2020/2021
Eibar;Visitante;0;0;1;5;0;0;1;7;0;0;0;0;1;0;Si;x;07/11/2020;2020/2021
Barcelona;Local;5;14;0;0;3;10;0;0;1;0;0;0;0;0;No;1;07/11/2020;2020/2021
Betis;Visitante;0;0;2;5;0;0;0;6;0;0;0;0;0;2;No;1;07/11/2020;2020/2021
Sevilla;Local;1;4;0;0;3;9;0;0;1;0;0;0;0;0;No;1;07/11/2020;2020/2021
Osasuna;Visitante;0;0;0;2;0;0;0;4;0;0;0;0;0;1;No;1;07/11/2020;2020/2021
Atlético;Local;4;14;0;0;3;13;0;0;2;0;0;0;0;0;No;1;07/11/2020;2020/2021
Cádiz;Visitante;0;0;0;6;0;0;0;12;0;0;0;0;0;1;No;1;07/11/2020;2020/2021
Getafe;Local;1;6;0;0;0;9;0;0;0;0;2;0;0;0;No;2;08/11/2020;2020/2021
Villarreal;Visitante;0;0;3;3;0;0;3;5;0;0;0;1;0;0;No;2;08/11/2020;2020/2021
R. Sociedad;Local;2;9;0;0;3;10;0;0;3;0;0;0;0;0;No;1;08/11/2020;2020/2021
Granada;Visitante;0;0;0;3;0;0;0;4;0;0;0;0;0;1;No;1;08/11/2020;2020/2021
Real Valladolid;Local;2;5;0;0;3;5;0;0;1;0;0;0;0;0;Si;1;08/11/2020;2020/2021
Athletic;Visitante;0;0;1;3;0;0;0;3;0;0;0;0;0;3;No;1;08/11/2020;2020/2021
Levante;Local;1;3;0;0;1;3;0;0;0;2;0;0;0;0;No;x;08/11/2020;2020/2021
Alavés;Visitante;0;0;1;5;0;0;1;4;0;0;0;0;1;0;No;x;08/11/2020;2020/2021
Valencia;Local;4;11;0;0;3;8;0;0;1;0;0;0;0;0;No;1;08/11/2020;2020/2021
Real Madrid;Visitante;0;0;1;9;0;0;0;10;0;0;0;0;0;1;No;1;08/11/2020;2020/2021
Osasuna;Local;1;6;0;0;1;7;0;0;0;1;0;0;0;0;No;x;20/11/2020;2020/2021
Huesca;Visitante;0;0;1;5;0;0;1;4;0;0;0;0;1;0;Si;x;20/11/2020;2020/2021
Levante;Local;1;4;0;0;1;4;0;0;0;1;0;0;0;0;No;x;21/11/2020;2020/2021
Elche;Visitante;0;0;1;5;0;0;1;7;0;0;0;0;1;0;No;x;21/11/2020;2020/2021
Villarreal;Local;1;11;0;0;1;14;0;0;0;1;0;0;0;0;No;x;21/11/2020;2020/2021
Real Madrid;Visitante;0;0;1;10;0;0;1;11;0;0;0;0;1;0;No;x;21/11/2020;2020/2021
Sevilla;Local;4;8;0;0;3;12;0;0;2;0;0;0;0;0;No;1;21/11/2020;2020/2021
Celta;Visitante;0;0;2;5;0;0;0;4;0;0;0;0;0;1;No;1;21/11/2020;2020/2021
Atlético;Local;1;15;0;0;3;16;0;0;3;0;0;0;0;0;No;1;21/11/2020;2020/2021
Barcelona;Visitante;0;0;0;7;0;0;0;8;0;0;0;0;0;1;No;1;21/11/2020;2020/2021
Eibar;Local;0;1;0;0;1;3;0;0;0;1;0;0;0;0;Si;x;22/11/2020;2020/2021
Getafe;Visitante;0;0;0;2;0;0;1;3;0;0;0;0;2;0;No;x;22/11/2020;2020/2021
Cádiz;Local;0;2;0;0;0;2;0;0;0;0;1;0;0;0;No;2;22/11/2020;2020/2021
R. Sociedad;Visitante;0;0;1;12;0;0;3;13;0;0;0;4;0;0;No;2;22/11/2020;2020/2021
Granada;Local;1;9;0;0;0;13;0;0;0;0;1;0;0;0;No;2;22/11/2020;2020/2021
Real Valladolid;Visitante;0;0;3;5;0;0;3;4;0;0;0;1;0;0;Si;2;22/11/2020;2020/2021
Alavés;Local;2;4;0;0;1;6;0;0;0;2;0;0;0;0;No;x;22/11/2020;2020/2021
Valencia;Visitante;0;0;2;6;0;0;1;4;0;0;0;0;1;0;No;x;22/11/2020;2020/2021
Athletic;Local;4;10;0;0;3;9;0;0;3;0;0;0;0;0;No;1;23/11/2020;2020/2021
Betis;Visitante;0;0;0;5;0;0;0;6;0;0;0;0;0;3;No;1;23/11/2020;2020/2021
Real Valladolid;Local;1;6;0;0;1;6;0;0;0;1;0;0;0;0;Si;x;27/11/2020;2020/2021
Levante;Visitante;0;0;1;7;0;0;1;5;0;0;0;0;2;0;No;x;27/11/2020;2020/2021
Elche;Local;1;4;0;0;1;6;0;0;0;2;0;0;0;0;No;x;28/11/2020;2020/2021
Cádiz;Visitante;0;0;1;7;0;0;1;13;0;0;0;0;1;0;No;x;28/11/2020;2020/2021
Valencia;Local;0;11;0;0;0;8;0;0;0;0;1;0;0;0;No;2;28/11/2020;2020/2021
Atlético;Visitante;0;0;1;7;0;0;3;11;0;0;0;3;0;0;No;2;28/11/2020;2020/2021
Huesca;Local;0;3;0;0;0;3;0;0;0;0;1;0;0;0;Si;2;28/11/2020;2020/2021
Sevilla;Visitante;0;0;1;6;0;0;3;7;0;0;0;1;0;0;No;2;28/11/2020;2020/2021
Real Madrid;Local;1;8;0;0;0;9;0;0;0;0;1;0;0;0;No;2;28/11/2020;2020/2021
Alavés;Visitante;0;0;2;7;0;0;3;7;0;0;0;1;0;0;No;2;28/11/2020;2020/2021
Barcelona;Local;4;18;0;0;3;13;0;0;2;0;0;0;0;0;No;1;29/11/2020;2020/2021
Osasuna;Visitante;0;0;0;2;0;0;0;4;0;0;0;0;0;2;No;1;29/11/2020;2020/2021
Getafe;Local;1;7;0;0;1;10;0;0;0;1;0;0;0;0;No;x;29/11/2020;2020/2021
Athletic;Visitante;0;0;1;4;0;0;1;4;0;0;0;0;1;0;No;x;29/11/2020;2020/2021
Celta;Local;3;6;0;0;3;6;0;0;1;0;0;0;0;0;No;1;29/11/2020;2020/2021
Granada;Visitante;0;0;1;4;0;0;0;4;0;0;0;0;0;2;No;1;29/11/2020;2020/2021
R. Sociedad;Local;1;10;0;0;1;11;0;0;0;1;0;0;0;0;No;x;29/11/2020;2020/2021
Villarreal;Visitante;0;0;1;4;0;0;1;6;0;0;0;0;1;0;No;x;29/11/2020;2020/2021
Betis;Local;0;7;0;0;0;6;0;0;0;0;1;0;0;0;No;2;30/11/2020;2020/2021
Eibar;Visitante;0;0;2;7;0;0;3;10;0;0;0;1;0;0;Si;2;30/11/2020;2020/2021
Athletic;Local;0;10;0;0;0;9;0;0;0;0;1;0;0;0;No;2;04/12/2020;2020/2021
Celta;Visitante;0;0;2;7;0;0;3;7;0;0;0;1;0;0;No;2;04/12/2020;2020/2021
Levante;Local;3;7;0;0;3;7;0;0;1;0;0;0;0;0;No;1;05/12/2020;2020/2021
Getafe;Visitante;0;0;0;2;0;0;0;3;0;0;0;0;0;1;No;1;05/12/2020;2020/2021
Sevilla;Local;0;8;0;0;0;12;0;0;0;0;1;0;0;0;No;2;05/12/2020;2020/2021
Real Madrid;Visitante;0;0;1;11;0;0;3;14;0;0;0;1;0;0;No;2;05/12/2020;2020/2021
Atlético;Local;2;17;0;0;3;19;0;0;4;0;0;0;0;0;No;1;05/12/2020;2020/2021
Real Valladolid;Visitante;0;0;0;5;0;0;0;4;0;0;0;0;0;1;Si;1;05/12/2020;2020/2021
Cádiz;Local;2;4;0;0;3;5;0;0;1;0;0;0;0;0;No;1;05/12/2020;2020/2021
Barcelona;Visitante;0;0;1;8;0;0;0;8;0;0;0;0;0;2;No;1;05/12/2020;2020/2021
Granada;Local;3;12;0;0;1;14;0;0;0;1;0;0;0;0;No;x;06/12/2020;2020/2021
Huesca;Visitante;0;0;3;8;0;0;1;5;0;0;0;0;2;0;Si;x;06/12/2020;2020/2021
Osasuna;Local;0;6;0;0;0;7;0;0;0;0;1;0;0;0;No;2;06/12/2020;2020/2021
Betis;Visitante;0;0;2;7;0;0;3;9;0;0;0;1;0;0;No;2;06/12/2020;2020/2021
Villarreal;Local;0;11;0;0;1;15;0;0;0;2;0;0;0;0;No;x;06/12/2020;2020/2021
Elche;Visitante;0;0;0;5;0;0;1;8;0;0;0;0;2;0;No;x;06/12/2020;2020/2021
Alavés;Local;0;4;0;0;1;7;0;0;0;3;0;0;0;0;No;x;06/12/2020;2020/2021
R. Sociedad;Visitante;0;0;0;12;0;0;1;14;0;0;0;0;1;0;No;x;06/12/2020;2020/2021
Eibar;Local;0;1;0;0;1;4;0;0;0;2;0;0;0;0;Si;x;07/12/2020;2020/2021
Valencia;Visitante;0;0;0;6;0;0;1;5;0;0;0;0;2;0;No;x;07/12/2020;2020/2021
Real Valladolid;Local;3;9;0;0;3;9;0;0;1;0;0;0;0;0;Si;1;11/12/2020;2020/2021
Osasuna;Visitante;0;0;2;4;0;0;0;4;0;0;0;0;0;3;No;1;11/12/2020;2020/2021
Valencia;Local;2;13;0;0;1;9;0;0;0;1;0;0;0;0;No;x;12/12/2020;2020/2021
Athletic;Visitante;0;0;2;6;0;0;1;5;0;0;0;0;2;0;No;x;12/12/2020;2020/2021
Getafe;Local;0;7;0;0;0;10;0;0;0;0;1;0;0;0;No;2;12/12/2020;2020/2021
Sevilla;Visitante;0;0;1;7;0;0;3;10;0;0;0;2;0;0;No;2;12/12/2020;2020/2021
Huesca;Local;1;4;0;0;3;6;0;0;1;0;0;0;0;0;Si;1;12/12/2020;2020/2021
Alavés;Visitante;0;0;0;7;0;0;0;7;0;0;0;0;0;1;No;1;12/12/2020;2020/2021
Real Madrid;Local;2;10;0;0;3;12;0;0;1;0;0;0;0;0;No;1;12/12/2020;2020/2021
Atlético;Visitante;0;0;0;7;0;0;0;11;0;0;0;0;0;1;No;1;12/12/2020;2020/2021
R. Sociedad;Local;1;11;0;0;1;12;0;0;0;2;0;0;0;0;No;x;13/12/2020;2020/2021
Eibar;Visitante;0;0;1;8;0;0;1;11;0;0;0;0;1;0;Si;x;13/12/2020;2020/2021
Betis;Local;1;8;0;0;1;7;0;0;0;1;0;0;0;0;No;x;13/12/2020;2020/2021
Villarreal;Visitante;0;0;1;5;0;0;1;7;0;0;0;0;2;0;No;x;13/12/2020;2020/2021
Elche;Local;0;4;0;0;0;6;0;0;0;0;1;0;0;0;No;2;13/12/2020;2020/2021
Granada;Visitante;0;0;1;5;0;0;3;7;0;0;0;1;0;0;No;2;13/12/2020;2020/2021
Barcelona;Local;1;19;0;0;3;16;0;0;3;0;0;0;0;0;No;1;13/12/2020;2020/2021
Levante;Visitante;0;0;0;7;0;0;0;5;0;0;0;0;0;1;No;1;13/12/2020;2020/2021
Celta;Local;4;10;0;0;3;9;0;0;2;0;0;0;0;0;No;1;14/12/2020;2020/2021
Cádiz;Visitante;0;0;0;7;0;0;0;13;0;0;0;0;0;1;No;1;14/12/2020;2020/2021
Athletic;Local;2;12;0;0;3;12;0;0;1;0;0;0;0;0;No;1;18/12/2020;2020/2021
Huesca;Visitante;0;0;0;8;0;0;0;5;0;0;0;0;0;1;Si;1;18/12/2020;2020/2021
Atlético;Local;3;20;0;0;3;22;0;0;5;0;0;0;0;0;No;1;19/12/2020;2020/2021
Elche;Visitante;0;0;1;6;0;0;0;8;0;0;0;0;0;1;No;1;19/12/2020;2020/2021
Barcelona;Local;2;21;0;0;1;17;0;0;0;1;0;0;0;0;No;x;19/12/2020;2020/2021
Valencia;Visitante;0;0;2;8;0;0;1;6;0;0;0;0;3;0;No;x;19/12/2020;2020/2021
Levante;Local;2;9;0;0;3;10;0;0;2;0;0;0;0;0;No;1;19/12/2020;2020/2021
R. Sociedad;Visitante;0;0;1;13;0;0;0;14;0;0;0;0;0;1;No;1;19/12/2020;2020/2021
Osasuna;Local;1;7;0;0;0;7;0;0;0;0;2;0;0;0;No;2;19/12/2020;2020/2021
Villarreal;Visitante;0;0;3;8;0;0;3;10;0;0;0;1;0;0;No;2;19/12/2020;2020/2021
Sevilla;Local;1;9;0;0;1;13;0;0;0;1;0;0;0;0;No;x;19/12/2020;2020/2021
Real Valladolid;Visitante;0;0;1;6;0;0;1;5;0;0;0;0;1;0;Si;x;19/12/2020;2020/2021
Celta;Local;2;12;0;0;3;12;0;0;3;0;0;0;0;0;No;1;20/12/2020;2020/2021
Alavés;Visitante;0;0;0;7;0;0;0;7;0;0;0;0;0;2;No;1;20/12/2020;2020/2021
Granada;Local;2;14;0;0;3;17;0;0;1;0;0;0;0;0;No;1;20/12/2020;2020/2021
Betis;Visitante;0;0;0;7;0;0;0;9;0;0;0;0;0;1;No;1;20/12/2020;2020/2021
Cádiz;Local;0;4;0;0;0;5;0;0;0;0;1;0;0;0;No;2;20/12/2020;2020/2021
Getafe;Visitante;0;0;2;4;0;0;3;6;0;0;0;1;0;0;No;2;20/12/2020;2020/2021
Eibar;Local;1;2;0;0;0;4;0;0;0;0;1;0;0;0;Si;2;20/12/2020;2020/2021
Real Madrid;Visitante;0;0;3;14;0;0;3;17;0;0;0;2;0;0;No;2;20/12/2020;2020/2021
Elche;Local;2;6;0;0;1;7;0;0;0;1;0;0;0;0;No;x;22/12/2020;2020/2021
Osasuna;Visitante;0;0;2;6;0;0;1;5;0;0;0;0;1;0;No;x;22/12/2020;2020/2021
Valencia;Local;0;13;0;0;0;9;0;0;0;0;1;0;0;0;No;2;22/12/2020;2020/2021
Sevilla;Visitante;0;0;1;8;0;0;3;13;0;0;0;3;0;0;No;2;22/12/2020;2020/2021
Huesca;Local;1;5;0;0;1;7;0;0;0;1;0;0;0;0;Si;x;22/12/2020;2020/2021
Levante;Visitante;0;0;1;8;0;0;1;6;0;0;0;0;1;0;No;x;22/12/2020;2020/2021
R. Sociedad;Local;0;11;0;0;0;12;0;0;0;0;1;0;0;0;No;2;22/12/2020;2020/2021
Atlético;Visitante;0;0;2;9;0;0;3;14;0;0;0;1;0;0;No;2;22/12/2020;2020/2021
Villarreal;Local;1;12;0;0;1;16;0;0;0;3;0;0;0;0;No;x;22/12/2020;2020/2021
Athletic;Visitante;0;0;1;7;0;0;1;6;0;0;0;0;3;0;No;x;22/12/2020;2020/2021
Real Valladolid;Local;0;9;0;0;0;9;0;0;0;0;1;0;0;0;Si;2;22/12/2020;2020/2021
Barcelona;Visitante;0;0;3;11;0;0;3;11;0;0;0;1;0;0;No;2;22/12/2020;2020/2021
Getafe;Local;1;8;0;0;1;11;0;0;0;1;0;0;0;0;No;x;23/12/2020;2020/2021
Celta;Visitante;0;0;1;8;0;0;1;8;0;0;0;0;1;0;No;x;23/12/2020;2020/2021
Real Madrid;Local;2;12;0;0;3;15;0;0;2;0;0;0;0;0;No;1;23/12/2020;2020/2021
Granada;Visitante;0;0;0;5;0;0;0;7;0;0;0;0;0;1;No;1;23/12/2020;2020/2021
Alavés;Local;2;6;0;0;3;10;0;0;1;0;0;0;0;0;No;1;23/12/2020;2020/2021
Eibar;Visitante;0;0;1;9;0;0;0;11;0;0;0;0;0;1;Si;1;23/12/2020;2020/2021
Betis;Local;1;9;0;0;3;10;0;0;1;0;0;0;0;0;No;1;23/12/2020;2020/2021
Cádiz;Visitante;0;0;0;7;0;0;0;13;0;0;0;0;0;2;No;1;23/12/2020;2020/2021
Sevilla;Local;2;11;0;0;3;15;0;0;1;0;0;0;0;0;No;1;29/12/2020;2020/2021
Villarreal;Visitante;0;0;0;8;0;0;0;10;0;0;0;0;0;1;No;1;29/12/2020;2020/2021
Barcelona;Local;1;22;0;0;1;18;0;0;0;2;0;0;0;0;No;x;29/12/2020;2020/2021
Eibar;Visitante;0;0;1;10;0;0;1;12;0;0;0;0;1;0;Si;x;29/12/2020;2020/2021
Levante;Local;4;13;0;0;3;13;0;0;3;0;0;0;0;0;No;1;29/12/2020;2020/2021
Betis;Visitante;0;0;3;10;0;0;0;9;0;0;0;0;0;2;No;1;29/12/2020;2020/2021
Cádiz;Local;0;4;0;0;1;6;0;0;0;1;0;0;0;0;No;x;29/12/2020;2020/2021
Real Valladolid;Visitante;0;0;0;6;0;0;1;6;0;0;0;0;2;0;Si;x;29/12/2020;2020/2021
Granada;Local;2;16;0;0;3;20;0;0;2;0;0;0;0;0;No;1;30/12/2020;2020/2021
Valencia;Visitante;0;0;1;9;0;0;0;6;0;0;0;0;0;1;No;1;30/12/2020;2020/2021
Atlético;Local;1;21;0;0;3;25;0;0;6;0;0;0;0;0;No;1;30/12/2020;2020/2021
Getafe;Visitante;0;0;0;4;0;0;0;6;0;0;0;0;0;1;No;1;30/12/2020;2020/2021
Celta;Local;2;14;0;0;3;15;0;0;4;0;0;0;0;0;No;1;30/12/2020;2020/2021
Huesca;Visitante;0;0;1;9;0;0;0;5;0;0;0;0;0;2;Si;1;30/12/2020;2020/2021
Elche;Local;1;7;0;0;1;8;0;0;0;2;0;0;0;0;No;x;30/12/2020;2020/2021
Real Madrid;Visitante;0;0;1;15;0;0;1;18;0;0;0;0;1;0;No;x;30/12/2020;2020/2021
Athletic;Local;0;12;0;0;0;12;0;0;0;0;1;0;0;0;No;2;31/12/2020;2020/2021
R. Sociedad;Visitante;0;0;1;14;0;0;3;17;0;0;0;1;0;0;No;2;31/12/2020;2020/2021
Osasuna;Local;1;8;0;0;1;8;0;0;0;1;0;0;0;0;No;x;31/12/2020;2020/2021
Alavés;Visitante;0;0;1;8;0;0;1;8;0;0;0;0;1;0;No;x;31/12/2020;2020/2021
Villarreal;Local;2;14;0;0;3;19;0;0;1;0;0;0;0;0;No;1;02/01/2021;2020/2021
Levante;Visitante;0;0;1;9;0;0;0;6;0;0;0;0;0;1;No;1;02/01/2021;2020/2021
Betis;Local;1;10;0;0;1;11;0;0;0;1;0;0;0;0;No;x;02/01/2021;2020/2021
Sevilla;Visitante;0;0;1;9;0;0;1;14;0;0;0;0;1;0;No;x;02/01/2021;2020/2021
Getafe;Local;0;8;0;0;0;11;0;0;0;0;1;0;0;0;No;2;02/01/2021;2020/2021
Real Valladolid;Visitante;0;0;1;7;0;0;3;9;0;0;0;1;0;0;Si;2;02/01/2021;2020/2021
Real Madrid;Local;2;14;0;0;3;18;0;0;3;0;0;0;0;0;No;1;02/01/2021;2020/2021
Celta;Visitante;0;0;0;8;0;0;0;8;0;0;0;0;0;1;No;1;02/01/2021;2020/2021
Athletic;Local;1;13;0;0;3;15;0;0;1;0;0;0;0;0;No;1;03/01/2021;2020/2021
Elche;Visitante;0;0;0;6;0;0;0;8;0;0;0;0;0;2;No;1;03/01/2021;2020/2021
Alavés;Local;1;7;0;0;0;10;0;0;0;0;1;0;0;0;No;2;03/01/2021;2020/2021
Atlético;Visitante;0;0;2;11;0;0;3;17;0;0;0;2;0;0;No;2;03/01/2021;2020/2021
Eibar;Local;2;4;0;0;3;7;0;0;1;0;0;0;0;0;Si;1;03/01/2021;2020/2021
Granada;Visitante;0;0;0;5;0;0;0;7;0;0;0;0;0;2;No;1;03/01/2021;2020/2021
R. Sociedad;Local;1;12;0;0;1;13;0;0;0;1;0;0;0;0;No;x;03/01/2021;2020/2021
Osasuna;Visitante;0;0;1;7;0;0;1;6;0;0;0;0;2;0;No;x;03/01/2021;2020/2021
Huesca;Local;0;5;0;0;0;7;0;0;0;0;1;0;0;0;Si;2;03/01/2021;2020/2021
Barcelona;Visitante;0;0;1;12;0;0;3;14;0;0;0;2;0;0;No;2;03/01/2021;2020/2021
Valencia;Local;1;14;0;0;1;10;0;0;0;1;0;0;0;0;No;x;04/01/2021;2020/2021
Cádiz;Visitante;0;0;1;8;0;0;1;14;0;0;0;0;1;0;No;x;04/01/2021;2020/2021
Celta;Local;0;14;0;0;0;15;0;0;0;0;1;0;0;0;No;2;08/01/2021;2020/2021
Villarreal;Visitante;0;0;4;12;0;0;3;13;0;0;0;1;0;0;No;2;08/01/2021;2020/2021
Sevilla;Local;3;14;0;0;3;18;0;0;2;0;0;0;0;0;No;1;09/01/2021;2020/2021
R. Sociedad;Visitante;0;0;2;16;0;0;0;17;0;0;0;0;0;1;No;1;09/01/2021;2020/2021
Granada;Local;0;16;0;0;0;20;0;0;0;0;1;0;0;0;No;2;09/01/2021;2020/2021
Barcelona;Visitante;0;0;4;16;0;0;3;17;0;0;0;3;0;0;No;2;09/01/2021;2020/2021
Osasuna;Local;0;8;0;0;1;9;0;0;0;2;0;0;0;0;No;x;09/01/2021;2020/2021
Real Madrid;Visitante;0;0;0;15;0;0;1;19;0;0;0;0;2;0;No;x;09/01/2021;2020/2021
Levante;Local;2;15;0;0;3;16;0;0;4;0;0;0;0;0;No;1;10/01/2021;2020/2021
Eibar;Visitante;0;0;1;11;0;0;0;12;0;0;0;0;0;1;Si;1;10/01/2021;2020/2021
Cádiz;Local;3;7;0;0;3;9;0;0;1;0;0;0;0;0;No;1;10/01/2021;2020/2021
Alavés;Visitante;0;0;1;9;0;0;0;8;0;0;0;0;0;1;No;1;10/01/2021;2020/2021
Real Valladolid;Local;0;9;0;0;0;9;0;0;0;0;2;0;0;0;Si;2;10/01/2021;2020/2021
Valencia;Visitante;0;0;1;10;0;0;3;9;0;0;0;1;0;0;No;2;10/01/2021;2020/2021
Elche;Local;1;8;0;0;0;8;0;0;0;0;1;0;0;0;No;2;11/01/2021;2020/2021
Getafe;Visitante;0;0;3;7;0;0;3;9;0;0;0;1;0;0;No;2;11/01/2021;2020/2021
Huesca;Local;0;5;0;0;0;7;0;0;0;0;2;0;0;0;Si;2;11/01/2021;2020/2021
Betis;Visitante;0;0;2;12;0;0;3;12;0;0;0;1;0;0;No;2;11/01/2021;2020/2021
Atlético;Local;2;23;0;0;3;28;0;0;7;0;0;0;0;0;No;1;10/03/2021;2020/2021
Athletic;Visitante;0;0;1;8;0;0;0;6;0;0;0;0;0;1;No;1;10/03/2021;2020/2021
Real Madrid;Local;3;17;0;0;3;21;0;0;4;0;0;0;0;0;No;1;15/12/2020;2020/2021
Athletic;Visitante;0;0;1;9;0;0;0;6;0;0;0;0;0;2;No;1;15/12/2020;2020/2021
Barcelona;Local;2;24;0;0;3;21;0;0;1;0;0;0;0;0;No;1;16/12/2020;2020/2021
R. Sociedad;Visitante;0;0;1;17;0;0;0;17;0;0;0;0;0;2;No;1;16/12/2020;2020/2021
Real Valladolid;Local;2;11;0;0;1;10;0;0;0;1;0;0;0;0;Si;x;19/01/2021;2020/2021
Elche;Visitante;0;0;2;8;0;0;1;9;0;0;0;0;1;0;No;x;19/01/2021;2020/2021
Cádiz;Local;2;9;0;0;1;10;0;0;0;1;0;0;0;0;No;x;19/01/2021;2020/2021
Levante;Visitante;0;0;2;11;0;0;1;7;0;0;0;0;1;0;No;x;19/01/2021;2020/2021
Alavés;Local;1;8;0;0;0;10;0;0;0;0;2;0;0;0;No;2;19/01/2021;2020/2021
Sevilla;Visitante;0;0;2;11;0;0;3;17;0;0;0;1;0;0;No;2;19/01/2021;2020/2021
