EquipoLocal;EquipoVisitante;Temporada;Fecha;Goles_Locales;Goles_Visitantes;Puntos_locales;Puntos_Visitantes;Diferencia_Goles;Resultado
Espanyol;Deportivo;2015/2016;20/02/2016;1;0;3;0;1;1
Las Palmas;Barcelona;2015/2016;20/02/2016;1;2;0;3;1;2
Athletic;R. Sociedad;2015/2016;21/02/2016;0;1;0;3;1;2
Atlético;Villarreal;2015/2016;21/02/2016;0;0;1;1;0;x
Granada;Valencia;2015/2016;21/02/2016;1;2;0;3;1;2
Málaga;Real Madrid;2015/2016;21/02/2016;1;1;1;1;0;x
Rayo;Sevilla;2015/2016;21/02/2016;2;2;1;1;0;x
Eibar;Las Palmas;2015/2016;26/02/2016;0;1;0;3;1;2
Betis;Rayo;2015/2016;27/02/2016;2;2;1;1;0;x
Getafe;Celta;2015/2016;27/02/2016;0;1;0;3;1;2
Real Madrid;Atlético;2015/2016;27/02/2016;0;1;0;3;1;2
R. Sociedad;Málaga;2015/2016;27/02/2016;1;1;1;1;0;x
Sporting Gijón;Espanyol;2015/2016;27/02/2016;2;4;0;3;2;2
Barcelona;Sevilla;2015/2016;28/02/2016;2;1;3;0;1;1
Deportivo;Granada;2015/2016;28/02/2016;0;1;0;3;1;2
Valencia;Athletic;2015/2016;28/02/2016;0;3;0;3;3;2
Villarreal;Levante;2015/2016;28/02/2016;3;0;3;0;3;1
Atlético;R. Sociedad;2015/2016;01/03/2016;3;0;3;0;3;1
Las Palmas;Getafe;2015/2016;01/03/2016;4;0;3;0;4;1
Athletic;Deportivo;2015/2016;02/03/2016;4;1;3;0;3;1
Celta;Villarreal;2015/2016;02/03/2016;0;0;1;1;0;x
Levante;Real Madrid;2015/2016;02/03/2016;1;3;0;3;2;2
Málaga;Valencia;2015/2016;02/03/2016;1;2;0;3;1;2
Sevilla;Eibar;2015/2016;02/03/2016;1;0;3;0;1;1
Espanyol;Betis;2015/2016;03/03/2016;0;3;0;3;3;2
Granada;Sporting Gijón;2015/2016;03/03/2016;2;0;3;0;2;1
Rayo;Barcelona;2015/2016;03/03/2016;1;5;0;3;4;2
Getafe;Sevilla;2015/2016;05/03/2016;1;1;1;1;0;x
Deportivo;Málaga;2015/2016;05/03/2016;3;3;1;1;0;x
Real Madrid;Celta;2015/2016;05/03/2016;7;1;3;0;6;1
Villarreal;Las Palmas;2015/2016;05/03/2016;0;1;0;3;1;2
Betis;Granada;2015/2016;06/03/2016;2;0;3;0;2;1
Eibar;Barcelona;2015/2016;06/03/2016;0;4;0;3;4;2
R. Sociedad;Levante;2015/2016;06/03/2016;1;1;1;1;0;x
Sporting Gijón;Athletic;2015/2016;06/03/2016;0;2;0;3;2;2
Valencia;Atlético;2015/2016;06/03/2016;1;3;0;3;2;2
Espanyol;Rayo;2015/2016;07/03/2016;2;1;3;0;1;1
Málaga;Sporting Gijón;2015/2016;11/03/2016;1;0;3;0;1;1
Atlético;Deportivo;2015/2016;12/03/2016;3;0;3;0;3;1
Barcelona;Getafe;2015/2016;12/03/2016;6;0;3;0;6;1
Celta;R. Sociedad;2015/2016;12/03/2016;1;0;3;0;1;1
Rayo;Eibar;2015/2016;12/03/2016;1;1;1;1;0;x
Athletic;Betis;2015/2016;13/03/2016;3;1;3;0;2;1
Las Palmas;Real Madrid;2015/2016;13/03/2016;1;2;0;3;1;2
Levante;Valencia;2015/2016;13/03/2016;1;0;3;0;1;1
Sevilla;Villarreal;2015/2016;13/03/2016;4;2;3;0;2;1
Granada;Espanyol;2015/2016;14/03/2016;1;1;1;1;0;x
Getafe;Eibar;2015/2016;18/03/2016;1;1;1;1;0;x
Betis;Málaga;2015/2016;19/03/2016;0;1;0;3;1;2
Granada;Rayo;2015/2016;19/03/2016;2;2;1;1;0;x
Deportivo;Levante;2015/2016;19/03/2016;2;1;3;0;1;1
R. Sociedad;Las Palmas;2015/2016;19/03/2016;0;1;0;3;1;2
Sporting Gijón;Atlético;2015/2016;19/03/2016;2;1;3;0;1;1
Espanyol;Athletic;2015/2016;20/03/2016;2;1;3;0;1;1
Real Madrid;Sevilla;2015/2016;20/03/2016;4;0;3;0;4;1
Valencia;Celta;2015/2016;20/03/2016;0;2;0;3;2;2
Villarreal;Barcelona;2015/2016;20/03/2016;2;2;1;1;0;x
Rayo;Getafe;2015/2016;01/04/2016;2;0;3;0;2;1
Atlético;Betis;2015/2016;02/04/2016;5;1;3;0;4;1
Barcelona;Real Madrid;2015/2016;02/04/2016;1;2;0;3;1;2
Celta;Deportivo;2015/2016;02/04/2016;1;1;1;1;0;x
Las Palmas;Valencia;2015/2016;02/04/2016;2;1;3;0;1;1
Athletic;Granada;2015/2016;03/04/2016;1;1;1;1;0;x
Eibar;Villarreal;2015/2016;03/04/2016;1;2;0;3;1;2
Málaga;Espanyol;2015/2016;03/04/2016;1;1;1;1;0;x
Sevilla;R. Sociedad;2015/2016;03/04/2016;1;2;0;3;1;2
Levante;Sporting Gijón;2015/2016;04/04/2016;0;0;1;1;0;x
Granada;Málaga;2015/2016;08/04/2016;0;0;1;1;0;x
Betis;Levante;2015/2016;09/04/2016;1;0;3;0;1;1
Espanyol;Atlético;2015/2016;09/04/2016;1;3;0;3;2;2
Real Madrid;Eibar;2015/2016;09/04/2016;4;0;3;0;4;1
R. Sociedad;Barcelona;2015/2016;09/04/2016;1;0;3;0;1;1
Athletic;Rayo;2015/2016;10/04/2016;1;0;3;0;1;1
Sporting Gijón;Celta;2015/2016;10/04/2016;0;1;0;3;1;2
Valencia;Sevilla;2015/2016;10/04/2016;2;1;3;0;1;1
Villarreal;Getafe;2015/2016;10/04/2016;2;0;3;0;2;1
Deportivo;Las Palmas;2015/2016;11/04/2016;1;3;0;3;2;2
Levante;Espanyol;2015/2016;15/04/2016;2;1;3;0;1;1
Celta;Betis;2015/2016;16/04/2016;1;1;1;1;0;x
Eibar;R. Sociedad;2015/2016;16/04/2016;2;1;3;0;1;1
Getafe;Real Madrid;2015/2016;16/04/2016;1;5;0;3;4;2
Las Palmas;Sporting Gijón;2015/2016;16/04/2016;1;1;1;1;0;x
Atlético;Granada;2015/2016;17/04/2016;3;0;3;0;3;1
Barcelona;Valencia;2015/2016;17/04/2016;1;2;0;3;1;2
Málaga;Athletic;2015/2016;17/04/2016;0;1;0;3;1;2
Sevilla;Deportivo;2015/2016;17/04/2016;1;1;1;1;0;x
Rayo;Villarreal;2015/2016;17/04/2016;2;1;3;0;1;1
Betis;Las Palmas;2015/2016;19/04/2016;1;0;3;0;1;1
Espanyol;Celta;2015/2016;19/04/2016;1;1;1;1;0;x
Athletic;Atlético;2015/2016;20/04/2016;0;1;0;3;1;2
Deportivo;Barcelona;2015/2016;20/04/2016;0;8;0;3;8;2
Málaga;Rayo;2015/2016;20/04/2016;1;1;1;1;0;x
Real Madrid;Villarreal;2015/2016;20/04/2016;3;0;3;0;3;1
Sporting Gijón;Sevilla;2015/2016;20/04/2016;2;1;3;0;1;1
Valencia;Eibar;2015/2016;20/04/2016;4;0;3;0;4;1
Granada;Levante;2015/2016;21/04/2016;5;1;3;0;4;1
R. Sociedad;Getafe;2015/2016;21/04/2016;1;2;0;3;1;2
Las Palmas;Espanyol;2015/2016;22/04/2016;4;0;3;0;4;1
Atlético;Málaga;2015/2016;23/04/2016;1;0;3;0;1;1
Barcelona;Sporting Gijón;2015/2016;23/04/2016;6;0;3;0;6;1
Eibar;Deportivo;2015/2016;23/04/2016;1;1;1;1;0;x
Rayo;Real Madrid;2015/2016;23/04/2016;2;3;0;3;1;2
Getafe;Valencia;2015/2016;24/04/2016;2;2;1;1;0;x
Levante;Athletic;2015/2016;24/04/2016;2;2;1;1;0;x
Sevilla;Betis;2015/2016;24/04/2016;2;0;3;0;2;1
Villarreal;R. Sociedad;2015/2016;24/04/2016;0;0;1;1;0;x
Celta;Granada;2015/2016;25/04/2016;2;1;3;0;1;1
Sporting Gijón;Eibar;2015/2016;29/04/2016;2;0;3;0;2;1
Atlético;Rayo;2015/2016;30/04/2016;1;0;3;0;1;1
