EquipoLocal;EquipoVisitante;Temporada;Fecha;Goles_Locales;Goles_Visitantes;Puntos_locales;Puntos_Visitantes;Diferencia_Goles;Resultado
Eibar;Huesca;2018/2019;19/08/2018;1;2;0;3;1;2
Real Madrid;Getafe;2018/2019;19/08/2018;2;0;3;0;2;1
Rayo;Sevilla;2018/2019;19/08/2018;1;4;0;3;3;2
Athletic;Leganés;2018/2019;20/08/2018;2;1;3;0;1;1
Valencia;Atlético;2018/2019;20/08/2018;1;1;1;1;0;x
Getafe;Eibar;2018/2019;24/08/2018;2;0;3;0;2;1
Leganés;R. Sociedad;2018/2019;24/08/2018;2;2;1;1;0;x
Alavés;Betis;2018/2019;25/08/2018;0;0;1;1;0;x
Atlético;Rayo;2018/2019;25/08/2018;1;0;3;0;1;1
Real Valladolid;Barcelona;2018/2019;25/08/2018;0;1;0;3;1;2
Espanyol;Valencia;2018/2019;26/08/2018;2;0;3;0;2;1
Girona;Real Madrid;2018/2019;26/08/2018;1;4;0;3;3;2
Sevilla;Villarreal;2018/2019;26/08/2018;0;0;1;1;0;x
Athletic;Huesca;2018/2019;27/08/2018;2;2;1;1;0;x
Levante;Celta;2018/2019;27/08/2018;1;2;0;3;1;2
Eibar;R. Sociedad;2018/2019;31/08/2018;2;1;3;0;1;1
Getafe;Real Valladolid;2018/2019;31/08/2018;0;0;1;1;0;x
Villarreal;Girona;2018/2019;31/08/2018;0;1;0;3;1;2
Celta;Atlético;2018/2019;01/09/2018;2;0;3;0;2;1
Real Madrid;Leganés;2018/2019;01/09/2018;4;1;3;0;3;1
Alavés;Espanyol;2018/2019;02/09/2018;2;1;3;0;1;1
Barcelona;Huesca;2018/2019;02/09/2018;8;2;3;0;6;1
Betis;Sevilla;2018/2019;02/09/2018;1;0;3;0;1;1
Levante;Valencia;2018/2019;02/09/2018;2;2;1;1;0;x
Huesca;Rayo;2018/2019;14/09/2018;0;1;0;3;1;2
Athletic;Real Madrid;2018/2019;15/09/2018;1;1;1;1;0;x
Atlético;Eibar;2018/2019;15/09/2018;1;1;1;1;0;x
R. Sociedad;Barcelona;2018/2019;15/09/2018;1;2;0;3;1;2
Valencia;Betis;2018/2019;15/09/2018;0;0;1;1;0;x
Espanyol;Levante;2018/2019;16/09/2018;1;0;3;0;1;1
Leganés;Villarreal;2018/2019;16/09/2018;0;1;0;3;1;2
Sevilla;Getafe;2018/2019;16/09/2018;0;2;0;3;2;2
Real Valladolid;Alavés;2018/2019;16/09/2018;0;1;0;3;1;2
Girona;Celta;2018/2019;17/09/2018;3;2;3;0;1;1
Huesca;R. Sociedad;2018/2019;21/09/2018;0;1;0;3;1;2
Celta;Real Valladolid;2018/2019;22/09/2018;3;3;1;1;0;x
Eibar;Leganés;2018/2019;22/09/2018;1;0;3;0;1;1
Getafe;Atlético;2018/2019;22/09/2018;0;2;0;3;2;2
Real Madrid;Espanyol;2018/2019;22/09/2018;1;0;3;0;1;1
Rayo;Alavés;2018/2019;22/09/2018;1;5;0;3;4;2
Barcelona;Girona;2018/2019;23/09/2018;2;2;1;1;0;x
Betis;Athletic;2018/2019;23/09/2018;2;2;1;1;0;x
Levante;Sevilla;2018/2019;23/09/2018;2;6;0;3;4;2
Villarreal;Valencia;2018/2019;23/09/2018;0;0;1;1;0;x
Atlético;Huesca;2018/2019;25/09/2018;3;0;3;0;3;1
Espanyol;Eibar;2018/2019;25/09/2018;1;0;3;0;1;1
R. Sociedad;Rayo;2018/2019;25/09/2018;2;2;1;1;0;x
Athletic;Villarreal;2018/2019;26/09/2018;0;3;0;3;3;2
Leganés;Barcelona;2018/2019;26/09/2018;2;1;3;0;1;1
Sevilla;Real Madrid;2018/2019;26/09/2018;3;0;3;0;3;1
Valencia;Celta;2018/2019;26/09/2018;1;1;1;1;0;x
Alavés;Getafe;2018/2019;27/09/2018;1;1;1;1;0;x
Girona;Betis;2018/2019;27/09/2018;0;1;0;3;1;2
Real Valladolid;Levante;2018/2019;27/09/2018;2;1;3;0;1;1
Rayo;Espanyol;2018/2019;28/09/2018;2;2;1;1;0;x
Barcelona;Athletic;2018/2019;29/09/2018;1;1;1;1;0;x
Eibar;Sevilla;2018/2019;29/09/2018;1;3;0;3;2;2
Real Madrid;Atlético;2018/2019;29/09/2018;0;0;1;1;0;x
R. Sociedad;Valencia;2018/2019;29/09/2018;0;1;0;3;1;2
Betis;Leganés;2018/2019;30/09/2018;1;0;3;0;1;1
Huesca;Girona;2018/2019;30/09/2018;1;1;1;1;0;x
Levante;Alavés;2018/2019;30/09/2018;2;1;3;0;1;1
Villarreal;Real Valladolid;2018/2019;30/09/2018;0;1;0;3;1;2
Celta;Getafe;2018/2019;01/10/2018;1;1;1;1;0;x
Athletic;R. Sociedad;2018/2019;05/10/2018;1;3;0;3;2;2
Alavés;Real Madrid;2018/2019;06/10/2018;1;0;3;0;1;1
Getafe;Levante;2018/2019;06/10/2018;0;1;0;3;1;2
Girona;Eibar;2018/2019;06/10/2018;2;3;0;3;1;2
Leganés;Rayo;2018/2019;06/10/2018;1;0;3;0;1;1
Atlético;Betis;2018/2019;07/10/2018;1;0;3;0;1;1
Espanyol;Villarreal;2018/2019;07/10/2018;3;1;3;0;2;1
Sevilla;Celta;2018/2019;07/10/2018;2;1;3;0;1;1
Valencia;Barcelona;2018/2019;07/10/2018;1;1;1;1;0;x
Real Valladolid;Huesca;2018/2019;07/10/2018;1;0;3;0;1;1
Celta;Alavés;2018/2019;19/10/2018;0;1;0;3;1;2
Barcelona;Sevilla;2018/2019;20/10/2018;4;2;3;0;2;1
Real Madrid;Levante;2018/2019;20/10/2018;1;2;0;3;1;2
Valencia;Leganés;2018/2019;20/10/2018;1;1;1;1;0;x
Villarreal;Atlético;2018/2019;20/10/2018;1;1;1;1;0;x
Betis;Real Valladolid;2018/2019;21/10/2018;0;1;0;3;1;2
Eibar;Athletic;2018/2019;21/10/2018;1;1;1;1;0;x
Huesca;Espanyol;2018/2019;21/10/2018;0;2;0;3;2;2
Rayo;Getafe;2018/2019;21/10/2018;1;2;0;3;1;2
R. Sociedad;Girona;2018/2019;22/10/2018;0;0;1;1;0;x
Rayo;Athletic;2018/2019;24/10/2018;1;1;1;1;0;x
Real Valladolid;Espanyol;2018/2019;26/10/2018;1;1;1;1;0;x
Athletic;Valencia;2018/2019;27/10/2018;0;0;1;1;0;x
Atlético;R. Sociedad;2018/2019;27/10/2018;2;0;3;0;2;1
Celta;Eibar;2018/2019;27/10/2018;4;0;3;0;4;1
Girona;Rayo;2018/2019;27/10/2018;2;1;3;0;1;1
Levante;Leganés;2018/2019;27/10/2018;2;0;3;0;2;1
Alavés;Villarreal;2018/2019;28/10/2018;2;1;3;0;1;1
Barcelona;Real Madrid;2018/2019;28/10/2018;5;1;3;0;4;1
Getafe;Betis;2018/2019;28/10/2018;2;0;3;0;2;1
Sevilla;Huesca;2018/2019;28/10/2018;2;1;3;0;1;1
Leganés;Atlético;2018/2019;03/11/2018;1;1;1;1;0;x
Real Madrid;Real Valladolid;2018/2019;03/11/2018;2;0;3;0;2;1
Valencia;Girona;2018/2019;03/11/2018;0;1;0;3;1;2
Rayo;Barcelona;2018/2019;03/11/2018;2;3;0;3;1;2
Betis;Celta;2018/2019;04/11/2018;3;3;1;1;0;x
Eibar;Alavés;2018/2019;04/11/2018;2;1;3;0;1;1
Huesca;Getafe;2018/2019;04/11/2018;1;1;1;1;0;x
R. Sociedad;Sevilla;2018/2019;04/11/2018;0;0;1;1;0;x
Villarreal;Levante;2018/2019;04/11/2018;1;1;1;1;0;x
Espanyol;Athletic;2018/2019;05/11/2018;1;0;3;0;1;1
Levante;R. Sociedad;2018/2019;09/11/2018;1;3;0;3;2;2
Atlético;Athletic;2018/2019;10/11/2018;3;2;3;0;1;1
Getafe;Valencia;2018/2019;10/11/2018;0;1;0;3;1;2
Girona;Leganés;2018/2019;10/11/2018;0;0;1;1;0;x
Real Valladolid;Eibar;2018/2019;10/11/2018;0;0;1;1;0;x
Alavés;Huesca;2018/2019;11/11/2018;2;1;3;0;1;1
Barcelona;Betis;2018/2019;11/11/2018;3;4;0;3;1;2
Celta;Real Madrid;2018/2019;11/11/2018;2;4;0;3;2;2
Sevilla;Espanyol;2018/2019;11/11/2018;2;1;3;0;1;1
Rayo;Villarreal;2018/2019;11/11/2018;2;2;1;1;0;x
Leganés;Alavés;2018/2019;23/11/2018;1;0;3;0;1;1
Atlético;Barcelona;2018/2019;24/11/2018;1;1;1;1;0;x
Eibar;Real Madrid;2018/2019;24/11/2018;3;0;3;0;3;1
Huesca;Levante;2018/2019;24/11/2018;2;2;1;1;0;x
Valencia;Rayo;2018/2019;24/11/2018;3;0;3;0;3;1
Athletic;Getafe;2018/2019;25/11/2018;1;1;1;1;0;x
Espanyol;Girona;2018/2019;25/11/2018;1;3;0;3;2;2
Sevilla;Real Valladolid;2018/2019;25/11/2018;1;0;3;0;1;1
Villarreal;Betis;2018/2019;25/11/2018;2;1;3;0;1;1
R. Sociedad;Celta;2018/2019;26/11/2018;2;1;3;0;1;1
Rayo;Eibar;2018/2019;30/11/2018;1;0;3;0;1;1
Celta;Huesca;2018/2019;01/12/2018;2;0;3;0;2;1
Getafe;Espanyol;2018/2019;01/12/2018;3;0;3;0;3;1
Real Madrid;Valencia;2018/2019;01/12/2018;2;0;3;0;2;1
Real Valladolid;Leganés;2018/2019;01/12/2018;2;4;0;3;2;2
Alavés;Sevilla;2018/2019;02/12/2018;1;1;1;1;0;x
Barcelona;Villarreal;2018/2019;02/12/2018;2;0;3;0;2;1
Betis;R. Sociedad;2018/2019;02/12/2018;1;0;3;0;1;1
Girona;Atlético;2018/2019;02/12/2018;1;1;1;1;0;x
Levante;Athletic;2018/2019;03/12/2018;3;0;3;0;3;1
Leganés;Getafe;2018/2019;07/12/2018;1;1;1;1;0;x
Atlético;Alavés;2018/2019;08/12/2018;3;0;3;0;3;1
Espanyol;Barcelona;2018/2019;08/12/2018;0;4;0;3;4;2
Valencia;Sevilla;2018/2019;08/12/2018;1;1;1;1;0;x
Villarreal;Celta;2018/2019;08/12/2018;2;3;0;3;1;2
Betis;Rayo;2018/2019;09/12/2018;2;0;3;0;2;1
Eibar;Levante;2018/2019;09/12/2018;4;4;1;1;0;x
Huesca;Real Madrid;2018/2019;09/12/2018;0;1;0;3;1;2
R. Sociedad;Real Valladolid;2018/2019;09/12/2018;1;2;0;3;1;2
Athletic;Girona;2018/2019;10/12/2018;1;0;3;0;1;1
Celta;Leganés;2018/2019;14/12/2018;0;0;1;1;0;x
Eibar;Valencia;2018/2019;15/12/2018;1;1;1;1;0;x
Getafe;R. Sociedad;2018/2019;15/12/2018;1;0;3;0;1;1
Real Madrid;Rayo;2018/2019;15/12/2018;1;0;3;0;1;1
Real Valladolid;Atlético;2018/2019;15/12/2018;2;3;0;3;1;2
Espanyol;Betis;2018/2019;16/12/2018;1;3;0;3;2;2
Huesca;Villarreal;2018/2019;16/12/2018;2;2;1;1;0;x
Levante;Barcelona;2018/2019;16/12/2018;0;5;0;3;5;2
Sevilla;Girona;2018/2019;16/12/2018;2;0;3;0;2;1
Alavés;Athletic;2018/2019;17/12/2018;0;0;1;1;0;x
Girona;Getafe;2018/2019;21/12/2018;1;1;1;1;0;x
R. Sociedad;Alavés;2018/2019;21/12/2018;0;1;0;3;1;2
Athletic;Real Valladolid;2018/2019;22/12/2018;1;1;1;1;0;x
Atlético;Espanyol;2018/2019;22/12/2018;1;0;3;0;1;1
Barcelona;Celta;2018/2019;22/12/2018;2;0;3;0;2;1
Betis;Eibar;2018/2019;22/12/2018;1;1;1;1;0;x
Leganés;Sevilla;2018/2019;23/12/2018;1;1;1;1;0;x
Valencia;Huesca;2018/2019;23/12/2018;2;1;3;0;1;1
Rayo;Levante;2018/2019;23/12/2018;2;1;3;0;1;1
Villarreal;Real Madrid;2018/2019;03/01/2019;2;2;1;1;0;x
Espanyol;Leganés;2018/2019;04/01/2019;1;0;3;0;1;1
Levante;Girona;2018/2019;04/01/2019;2;2;1;1;0;x
Alavés;Valencia;2018/2019;05/01/2019;2;1;3;0;1;1
Huesca;Betis;2018/2019;05/01/2019;2;1;3;0;1;1
Real Valladolid;Rayo;2018/2019;05/01/2019;0;1;0;3;1;2
Eibar;Villarreal;2018/2019;06/01/2019;0;0;1;1;0;x
Getafe;Barcelona;2018/2019;06/01/2019;1;2;0;3;1;2
Real Madrid;R. Sociedad;2018/2019;06/01/2019;0;2;0;3;2;2
Sevilla;Atlético;2018/2019;06/01/2019;1;1;1;1;0;x
Celta;Athletic;2018/2019;07/01/2019;1;2;0;3;1;2
Rayo;Celta;2018/2019;11/01/2019;4;2;3;0;2;1
Girona;Alavés;2018/2019;12/01/2019;1;1;1;1;0;x
Leganés;Huesca;2018/2019;12/01/2019;1;0;3;0;1;1
Valencia;Real Valladolid;2018/2019;12/01/2019;1;1;1;1;0;x
Villarreal;Getafe;2018/2019;12/01/2019;1;2;0;3;1;2
Athletic;Sevilla;2018/2019;13/01/2019;2;0;3;0;2;1
Atlético;Levante;2018/2019;13/01/2019;1;0;3;0;1;1
Barcelona;Eibar;2018/2019;13/01/2019;3;0;3;0;3;1
Betis;Real Madrid;2018/2019;13/01/2019;1;2;0;3;1;2
R. Sociedad;Espanyol;2018/2019;14/01/2019;3;2;3;0;1;1
Getafe;Alavés;2018/2019;18/01/2019;4;0;3;0;4;1
Celta;Valencia;2018/2019;19/01/2019;1;2;0;3;1;2
Huesca;Atlético;2018/2019;19/01/2019;0;3;0;3;3;2
Real Madrid;Sevilla;2018/2019;19/01/2019;2;0;3;0;2;1
Barcelona;Leganés;2018/2019;20/01/2019;3;1;3;0;2;1
Betis;Girona;2018/2019;20/01/2019;3;2;3;0;1;1
Levante;Real Valladolid;2018/2019;20/01/2019;2;0;3;0;2;1
Rayo;R. Sociedad;2018/2019;20/01/2019;2;2;1;1;0;x
Villarreal;Athletic;2018/2019;20/01/2019;1;1;1;1;0;x
Eibar;Espanyol;2018/2019;21/01/2019;3;0;3;0;3;1
Atlético;Getafe;2018/2019;26/01/2019;2;0;3;0;2;1
Leganés;Eibar;2018/2019;26/01/2019;2;2;1;1;0;x
Sevilla;Levante;2018/2019;26/01/2019;5;0;3;0;5;1
Valencia;Villarreal;2018/2019;26/01/2019;3;0;3;0;3;1
Athletic;Betis;2018/2019;27/01/2019;1;0;3;0;1;1
Espanyol;Real Madrid;2018/2019;27/01/2019;2;4;0;3;2;2
Girona;Barcelona;2018/2019;27/01/2019;0;2;0;3;2;2
R. Sociedad;Huesca;2018/2019;27/01/2019;0;0;1;1;0;x
Real Valladolid;Celta;2018/2019;27/01/2019;2;1;3;0;1;1
Alavés;Rayo;2018/2019;28/01/2019;0;1;0;3;1;2
Huesca;Real Valladolid;2018/2019;01/02/2019;4;0;3;0;4;1
Barcelona;Valencia;2018/2019;02/02/2019;2;2;1;1;0;x
Celta;Sevilla;2018/2019;02/02/2019;1;0;3;0;1;1
Levante;Getafe;2018/2019;02/02/2019;0;0;1;1;0;x
R. Sociedad;Athletic;2018/2019;02/02/2019;2;1;3;0;1;1
Betis;Atlético;2018/2019;03/02/2019;1;0;3;0;1;1
Eibar;Girona;2018/2019;03/02/2019;3;0;3;0;3;1
Real Madrid;Alavés;2018/2019;03/02/2019;3;0;3;0;3;1
Villarreal;Espanyol;2018/2019;03/02/2019;2;2;1;1;0;x
Rayo;Leganés;2018/2019;04/02/2019;1;2;0;3;1;2
Real Valladolid;Villarreal;2018/2019;08/02/2019;0;0;1;1;0;x
Atlético;Real Madrid;2018/2019;09/02/2019;1;3;0;3;2;2
Espanyol;Rayo;2018/2019;09/02/2019;2;1;3;0;1;1
Getafe;Celta;2018/2019;09/02/2019;3;1;3;0;2;1
Girona;Huesca;2018/2019;09/02/2019;0;2;0;3;2;2
Athletic;Barcelona;2018/2019;10/02/2019;0;0;1;1;0;x
Leganés;Betis;2018/2019;10/02/2019;3;0;3;0;3;1
Sevilla;Eibar;2018/2019;10/02/2019;2;2;1;1;0;x
Valencia;R. Sociedad;2018/2019;10/02/2019;0;0;1;1;0;x
Alavés;Levante;2018/2019;11/02/2019;2;0;3;0;2;1
Eibar;Getafe;2018/2019;15/02/2019;2;2;1;1;0;x
Barcelona;Real Valladolid;2018/2019;16/02/2019;1;0;3;0;1;1
Celta;Levante;2018/2019;16/02/2019;1;4;0;3;3;2
R. Sociedad;Leganés;2018/2019;16/02/2019;3;0;3;0;3;1
Rayo;Atlético;2018/2019;16/02/2019;0;1;0;3;1;2
Betis;Alavés;2018/2019;17/02/2019;1;1;1;1;0;x
Real Madrid;Girona;2018/2019;17/02/2019;1;2;0;3;1;2
Valencia;Espanyol;2018/2019;17/02/2019;0;0;1;1;0;x
Villarreal;Sevilla;2018/2019;17/02/2019;3;0;3;0;3;1
Huesca;Athletic;2018/2019;18/02/2019;0;1;0;3;1;2
Espanyol;Huesca;2018/2019;22/02/2019;1;1;1;1;0;x
Alavés;Celta;2018/2019;23/02/2019;0;0;1;1;0;x
Athletic;Eibar;2018/2019;23/02/2019;1;0;3;0;1;1
Getafe;Rayo;2018/2019;23/02/2019;2;1;3;0;1;1
Sevilla;Barcelona;2018/2019;23/02/2019;2;4;0;3;2;2
Atlético;Villarreal;2018/2019;24/02/2019;2;0;3;0;2;1
Leganés;Valencia;2018/2019;24/02/2019;1;1;1;1;0;x
Levante;Real Madrid;2018/2019;24/02/2019;1;2;0;3;1;2
Real Valladolid;Betis;2018/2019;24/02/2019;0;2;0;3;2;2
Girona;R. Sociedad;2018/2019;25/02/2019;0;0;1;1;0;x
Rayo;Girona;2018/2019;01/03/2019;0;2;0;3;2;2
Espanyol;Real Valladolid;2018/2019;02/03/2019;3;1;3;0;2;1
Huesca;Sevilla;2018/2019;02/03/2019;2;1;3;0;1;1
Real Madrid;Barcelona;2018/2019;02/03/2019;0;1;0;3;1;2
Villarreal;Alavés;2018/2019;02/03/2019;1;2;0;3;1;2
Betis;Getafe;2018/2019;03/03/2019;1;2;0;3;1;2
Eibar;Celta;2018/2019;03/03/2019;1;0;3;0;1;1
R. Sociedad;Atlético;2018/2019;03/03/2019;0;2;0;3;2;2
Valencia;Athletic;2018/2019;03/03/2019;2;0;3;0;2;1
Leganés;Levante;2018/2019;04/03/2019;1;0;3;0;1;1
Athletic;Espanyol;2018/2019;08/03/2019;1;1;1;1;0;x
Alavés;Eibar;2018/2019;09/03/2019;1;1;1;1;0;x
Atlético;Leganés;2018/2019;09/03/2019;1;0;3;0;1;1
Barcelona;Rayo;2018/2019;09/03/2019;3;1;3;0;2;1
Getafe;Huesca;2018/2019;09/03/2019;2;1;3;0;1;1
Celta;Betis;2018/2019;10/03/2019;0;1;0;3;1;2
Girona;Valencia;2018/2019;10/03/2019;2;3;0;3;1;2
Levante;Villarreal;2018/2019;10/03/2019;0;2;0;3;2;2
Sevilla;R. Sociedad;2018/2019;10/03/2019;5;2;3;0;3;1
Real Valladolid;Real Madrid;2018/2019;10/03/2019;1;4;0;3;3;2
R. Sociedad;Levante;2018/2019;15/03/2019;1;1;1;1;0;x
Athletic;Atlético;2018/2019;16/03/2019;2;0;3;0;2;1
Huesca;Alavés;2018/2019;16/03/2019;1;3;0;3;2;2
Leganés;Girona;2018/2019;16/03/2019;0;2;0;3;2;2
Real Madrid;Celta;2018/2019;16/03/2019;2;0;3;0;2;1
Betis;Barcelona;2018/2019;17/03/2019;1;4;0;3;3;2
Eibar;Real Valladolid;2018/2019;17/03/2019;1;2;0;3;1;2
Espanyol;Sevilla;2018/2019;17/03/2019;0;1;0;3;1;2
Valencia;Getafe;2018/2019;17/03/2019;0;0;1;1;0;x
Villarreal;Rayo;2018/2019;17/03/2019;3;1;3;0;2;1
Girona;Athletic;2018/2019;29/03/2019;1;2;0;3;1;2
Alavés;Atlético;2018/2019;30/03/2019;0;4;0;3;4;2
Barcelona;Espanyol;2018/2019;30/03/2019;2;0;3;0;2;1
Celta;Villarreal;2018/2019;30/03/2019;3;2;3;0;1;1
Getafe;Leganés;2018/2019;30/03/2019;0;2;0;3;2;2
Levante;Eibar;2018/2019;31/03/2019;2;2;1;1;0;x
Real Madrid;Huesca;2018/2019;31/03/2019;3;2;3;0;1;1
Sevilla;Valencia;2018/2019;31/03/2019;0;1;0;3;1;2
Real Valladolid;R. Sociedad;2018/2019;31/03/2019;1;1;1;1;0;x
Rayo;Betis;2018/2019;31/03/2019;1;1;1;1;0;x
Atlético;Girona;2018/2019;02/04/2019;2;0;3;0;2;1
Espanyol;Getafe;2018/2019;02/04/2019;1;1;1;1;0;x
Villarreal;Barcelona;2018/2019;02/04/2019;4;4;1;1;0;x
Athletic;Levante;2018/2019;03/04/2019;3;2;3;0;1;1
Eibar;Rayo;2018/2019;03/04/2019;2;1;3;0;1;1
Huesca;Celta;2018/2019;03/04/2019;3;3;1;1;0;x
Valencia;Real Madrid;2018/2019;03/04/2019;2;1;3;0;1;1
Leganés;Real Valladolid;2018/2019;04/04/2019;1;0;3;0;1;1
Sevilla;Alavés;2018/2019;04/04/2019;2;0;3;0;2;1
R. Sociedad;Betis;2018/2019;04/04/2019;2;1;3;0;1;1
Barcelona;Atlético;2018/2019;06/04/2019;2;0;3;0;2;1
Girona;Espanyol;2018/2019;06/04/2019;1;2;0;3;1;2
Real Madrid;Eibar;2018/2019;06/04/2019;2;1;3;0;1;1
Rayo;Valencia;2018/2019;06/04/2019;2;0;3;0;2;1
Alavés;Leganés;2018/2019;07/04/2019;1;1;1;1;0;x
Betis;Villarreal;2018/2019;07/04/2019;2;1;3;0;1;1
Celta;R. Sociedad;2018/2019;07/04/2019;3;1;3;0;2;1
Getafe;Athletic;2018/2019;07/04/2019;1;0;3;0;1;1
Levante;Huesca;2018/2019;07/04/2019;2;2;1;1;0;x
Real Valladolid;Sevilla;2018/2019;07/04/2019;0;2;0;3;2;2
Atlético;Celta;2018/2019;13/04/2019;2;0;3;0;2;1
Espanyol;Alavés;2018/2019;13/04/2019;2;1;3;0;1;1
Huesca;Barcelona;2018/2019;13/04/2019;0;0;1;1;0;x
Sevilla;Betis;2018/2019;13/04/2019;3;2;3;0;1;1
Athletic;Rayo;2018/2019;14/04/2019;3;2;3;0;1;1
Girona;Villarreal;2018/2019;14/04/2019;0;1;0;3;1;2
R. Sociedad;Eibar;2018/2019;14/04/2019;1;1;1;1;0;x
Valencia;Levante;2018/2019;14/04/2019;3;1;3;0;2;1
Real Valladolid;Getafe;2018/2019;14/04/2019;2;2;1;1;0;x
Leganés;Real Madrid;2018/2019;15/04/2019;1;1;1;1;0;x
Alavés;Real Valladolid;2018/2019;19/04/2019;2;2;1;1;0;x
Barcelona;R. Sociedad;2018/2019;20/04/2019;2;1;3;0;1;1
Celta;Girona;2018/2019;20/04/2019;2;1;3;0;1;1
Eibar;Atlético;2018/2019;20/04/2019;0;1;0;3;1;2
Rayo;Huesca;2018/2019;20/04/2019;0;0;1;1;0;x
Betis;Valencia;2018/2019;21/04/2019;1;2;0;3;1;2
Getafe;Sevilla;2018/2019;21/04/2019;3;0;3;0;3;1
Levante;Espanyol;2018/2019;21/04/2019;2;2;1;1;0;x
Real Madrid;Athletic;2018/2019;21/04/2019;3;0;3;0;3;1
Villarreal;Leganés;2018/2019;21/04/2019;2;1;3;0;1;1
Alavés;Barcelona;2018/2019;23/04/2019;0;2;0;3;2;2
Huesca;Eibar;2018/2019;23/04/2019;2;0;3;0;2;1
Real Valladolid;Girona;2018/2019;23/04/2019;1;0;3;0;1;1
Atlético;Valencia;2018/2019;24/04/2019;3;2;3;0;1;1
Espanyol;Celta;2018/2019;24/04/2019;1;1;1;1;0;x
Leganés;Athletic;2018/2019;24/04/2019;0;1;0;3;1;2
Levante;Betis;2018/2019;24/04/2019;4;0;3;0;4;1
Getafe;Real Madrid;2018/2019;25/04/2019;0;0;1;1;0;x
Sevilla;Rayo;2018/2019;25/04/2019;5;0;3;0;5;1
R. Sociedad;Villarreal;2018/2019;25/04/2019;0;1;0;3;1;2
Athletic;Alavés;2018/2019;27/04/2019;1;1;1;1;0;x
Atlético;Real Valladolid;2018/2019;27/04/2019;1;0;3;0;1;1
Barcelona;Levante;2018/2019;27/04/2019;1;0;3;0;1;1
Leganés;Celta;2018/2019;27/04/2019;0;0;1;1;0;x
Girona;Sevilla;2018/2019;28/04/2019;1;0;3;0;1;1
R. Sociedad;Getafe;2018/2019;28/04/2019;2;1;3;0;1;1
Valencia;Eibar;2018/2019;28/04/2019;0;1;0;3;1;2
Rayo;Real Madrid;2018/2019;28/04/2019;1;0;3;0;1;1
Villarreal;Huesca;2018/2019;28/04/2019;1;1;1;1;0;x
Betis;Espanyol;2018/2019;29/04/2019;1;1;1;1;0;x
Sevilla;Leganés;2018/2019;03/05/2019;0;3;0;3;3;2
Alavés;R. Sociedad;2018/2019;04/05/2019;0;1;0;3;1;2
Celta;Barcelona;2018/2019;04/05/2019;2;0;3;0;2;1
Espanyol;Atlético;2018/2019;04/05/2019;3;0;3;0;3;1
Levante;Rayo;2018/2019;04/05/2019;4;1;3;0;3;1
Eibar;Betis;2018/2019;05/05/2019;1;0;3;0;1;1
Getafe;Girona;2018/2019;05/05/2019;2;0;3;0;2;1
Huesca;Valencia;2018/2019;05/05/2019;2;6;0;3;4;2
Real Madrid;Villarreal;2018/2019;05/05/2019;3;2;3;0;1;1
Real Valladolid;Athletic;2018/2019;05/05/2019;1;0;3;0;1;1
Athletic;Celta;2018/2019;12/05/2019;3;1;3;0;2;1
Atlético;Sevilla;2018/2019;12/05/2019;1;1;1;1;0;x
Barcelona;Getafe;2018/2019;12/05/2019;2;0;3;0;2;1
Betis;Huesca;2018/2019;12/05/2019;2;1;3;0;1;1
Girona;Levante;2018/2019;12/05/2019;1;2;0;3;1;2
Leganés;Espanyol;2018/2019;12/05/2019;0;2;0;3;2;2
R. Sociedad;Real Madrid;2018/2019;12/05/2019;3;1;3;0;2;1
Valencia;Alavés;2018/2019;12/05/2019;3;1;3;0;2;1
Rayo;Real Valladolid;2018/2019;12/05/2019;1;2;0;3;1;2
Villarreal;Eibar;2018/2019;12/05/2019;1;0;3;0;1;1
Alavés;Girona;2018/2019;18/05/2019;2;1;3;0;1;1
Celta;Rayo;2018/2019;18/05/2019;2;2;1;1;0;x
Espanyol;R. Sociedad;2018/2019;18/05/2019;2;0;3;0;2;1
Getafe;Villarreal;2018/2019;18/05/2019;2;2;1;1;0;x
Huesca;Leganés;2018/2019;18/05/2019;2;1;3;0;1;1
Levante;Atlético;2018/2019;18/05/2019;2;2;1;1;0;x
Sevilla;Athletic;2018/2019;18/05/2019;2;0;3;0;2;1
Real Valladolid;Valencia;2018/2019;18/05/2019;0;2;0;3;2;2
Eibar;Barcelona;2018/2019;19/05/2019;2;2;1;1;0;x
Real Madrid;Betis;2018/2019;19/05/2019;0;2;0;3;2;2
Athletic;Barcelona;2019/2020;16/08/2019;1;0;3;0;1;1
Celta;Real Madrid;2019/2020;17/08/2019;1;3;0;3;2;2
Valencia;R. Sociedad;2019/2020;17/08/2019;1;1;1;1;0;x
Mallorca;Eibar;2019/2020;17/08/2019;2;1;3;0;1;1
Villarreal;Granada;2019/2020;17/08/2019;4;4;1;1;0;x
Leganés;Osasuna;2019/2020;18/08/2019;0;1;0;3;1;2
Alavés;Levante;2019/2020;18/08/2019;1;0;3;0;1;1
Espanyol;Sevilla;2019/2020;18/08/2019;0;2;0;3;2;2
Betis;Real Valladolid;2019/2020;18/08/2019;1;2;0;3;1;2
Atlético;Getafe;2019/2020;18/08/2019;1;0;3;0;1;1
Granada;Sevilla;2019/2020;23/08/2019;0;1;0;3;1;2
Levante;Villarreal;2019/2020;23/08/2019;2;1;3;0;1;1
Osasuna;Eibar;2019/2020;24/08/2019;0;0;1;1;0;x
