Equipo;Local/Visitante;Goles_Locales;Suma_Goles_Locales_Acumulados;Media_Goles_Locales;Goles_Visitantes;Suma_Goles_Visitantes_Acumulados;Media_Goles_Visitantes;Puntos_Locales;Media_Puntos_Locales;Puntos_Locales_Acumulados;Puntos_Visitantes;Media_Puntos_Visitantes;Puntos_Visitantes_Acumulados;Victorias_Locales_Acumuladas;Empates_Locales_Acumulados;Derrotas_Locales_Acumuladas;Victorias_Acumuladas_Visitantes;Empates_Acumulados_Visitantes;Derrotas_Acumuladas_Visitantes;Descenso;Clasificacion_Europea;Resultados;Fecha;Temporada
Deportivo;Visitante;0;0;0;0;7;1,05;0;0;0;0;1,16;8;0;0;0;0;0;1;No;No;1;24/10/2015;2015/2016
Sevilla;Local;5;11;2;0;0;0;3;2,26;9;0;0;0;3;0;0;0;0;0;No;No;1;24/10/2015;2015/2016
Getafe;Visitante;0;0;0;0;1;0,74;0;0;0;0;0,58;1;0;0;0;0;0;1;Si;No;1;24/10/2015;2015/2016
Atlético;Local;2;7;1,74;0;0;0;3;2,53;10;0;0;0;1;0;0;0;0;0;No;Si;1;25/10/2015;2015/2016
Valencia;Visitante;0;0;0;1;3;1,11;0;0;0;0;1;4;0;0;0;0;0;3;No;No;1;25/10/2015;2015/2016
Barcelona;Local;3;15;3,52;0;0;0;3;2,58;15;0;0;0;5;0;0;0;0;0;No;Si;1;25/10/2015;2015/2016
Eibar;Visitante;0;0;0;1;8;1,21;0;0;0;0;0,74;8;0;0;0;0;0;1;No;No;1;25/10/2015;2015/2016
Las Palmas;Local;0;2;1,31;0;0;0;1;1,53;5;0;0;0;0;1;0;0;0;0;No;No;x;25/10/2015;2015/2016
Villarreal;Visitante;0;0;0;0;5;0,95;0;0;0;1;1,26;8;0;0;0;0;1;0;No;Si;x;25/10/2015;2015/2016
Levante;Local;0;5;1,21;0;0;0;0;1,37;5;0;0;0;0;0;1;0;0;0;Si;No;2;25/10/2015;2015/2016
R. Sociedad;Visitante;0;0;0;4;8;1,47;0;0;0;3;1,16;7;0;0;0;1;0;0;No;No;2;25/10/2015;2015/2016
Athletic;Local;3;10;1,84;0;0;0;3;1,95;9;0;0;0;2;0;0;0;0;0;No;Si;1;26/10/2015;2015/2016
Sporting Gijón;Visitante;0;0;0;0;6;0,63;0;0;0;0;0,74;7;0;0;0;0;0;1;No;No;1;26/10/2015;2015/2016
Deportivo;Local;1;8;1,32;0;0;0;1;1,05;6;0;0;0;0;2;0;0;0;0;No;No;x;30/10/2015;2015/2016
