Equipo;Local/Visitante;Goles_Locales;Suma_Goles_Locales_Acumulados;Media_Goles_Locales;Goles_Visitantes;Suma_Goles_Visitantes_Acumulados;Media_Goles_Visitantes;Puntos_Locales;Media_Puntos_Locales;Puntos_Locales_Acumulados;Puntos_Visitantes;Media_Puntos_Visitantes;Puntos_Visitantes_Acumulados;Victorias_Locales_Acumuladas;Empates_Locales_Acumulados;Derrotas_Locales_Acumuladas;Victorias_Acumuladas_Visitantes;Empates_Acumulados_Visitantes;Derrotas_Acumuladas_Visitantes;Descenso;Clasificacion_Europea;Resultados;Fecha;Temporada
Villarreal;Local;2;11;2,11;0;0;0;3;1,89;10;0;0;0;3;0;0;0;0;0;No;Si;1;03/10/2021;2021/2022
Betis;Visitante;0;0;0;0;6;1,47;0;0;0;0;1,74;7;0;0;0;0;0;1;No;Si;1;03/10/2021;2021/2022
Granada;Local;1;5;1,16;0;0;0;3;1,16;4;0;0;0;1;0;0;0;0;0;Si;No;1;03/10/2021;2021/2022
Sevilla;Visitante;0;0;0;0;0;0,89;0;0;0;0;1,47;5;0;0;0;0;0;1;No;Si;1;03/10/2021;2021/2022
Levante;Local;0;4;1,47;0;0;0;1;1,16;3;0;0;0;0;1;0;0;0;0;Si;No;x;16/10/2021;2021/2022
Getafe;Visitante;0;0;0;0;1;0,63;0;0;0;1;0,58;1;0;0;0;0;1;0;No;No;x;16/10/2021;2021/2022
R. Sociedad;Local;1;4;0,84;0;0;0;3;1,84;11;0;0;0;2;0;0;0;0;0;No;Si;1;16/10/2021;2021/2022
Mallorca;Visitante;0;0;0;0;1;0,84;0;0;0;0;0,63;3;0;0;0;0;0;3;No;No;1;16/10/2021;2021/2022
Rayo;Local;2;12;1,37;0;0;0;3;1,53;12;0;0;0;4;0;0;0;0;0;No;No;1;17/10/2021;2021/2022
Elche;Visitante;0;0;0;1;3;0,84;0;0;0;0;0,79;3;0;0;0;0;0;3;No;No;1;17/10/2021;2021/2022
Celta;Local;0;3;1,37;0;0;0;0;1,32;3;0;0;0;0;0;1;0;0;0;No;No;2;17/10/2021;2021/2022
Sevilla;Visitante;0;0;0;1;0;0,89;0;0;0;3;1,47;8;0;0;0;1;0;0;No;Si;2;17/10/2021;2021/2022
Villarreal;Local;1;12;2,11;0;0;0;0;1,89;10;0;0;0;0;0;1;0;0;0;No;Si;2;17/10/2021;2021/2022
Osasuna;Visitante;0;0;0;2;5;1,05;0;0;0;3;1,32;12;0;0;0;4;0;0;No;No;2;17/10/2021;2021/2022
Barcelona;Local;3;13;1,95;0;0;0;3;2;13;0;0;0;2;0;0;0;0;0;No;Si;1;17/10/2021;2021/2022
Valencia;Visitante;0;0;0;1;0;1,16;0;0;0;0;1,16;5;0;0;0;0;0;1;No;No;1;17/10/2021;2021/2022
Alavés;Local;0;2;0,89;0;0;0;0;1,31;3;0;0;0;0;0;1;0;0;0;Si;No;2;18/10/2021;2021/2022
Betis;Visitante;0;0;0;1;7;1,47;0;0;0;3;1,74;10;0;0;0;1;0;0;No;Si;2;18/10/2021;2021/2022
Espanyol;Local;2;6;1,32;0;0;0;3;1,74;10;0;0;0;3;0;0;0;0;0;No;No;1;18/10/2021;2021/2022
Cádiz;Visitante;0;0;0;0;4;0,84;0;0;0;0;1,11;4;0;0;0;0;0;2;No;No;1;18/10/2021;2021/2022
Real Madrid;Local;1;12;2,31;0;0;0;3;2,31;10;0;0;0;1;0;0;0;0;0;No;Si;1;01/12/2021;2021/2022
Athletic;Visitante;0;0;0;0;2;0,74;0;0;0;0;1,11;6;0;0;0;0;0;1;No;No;1;01/12/2021;2021/2022
Granada;Local;2;7;1,16;0;0;0;3;1,16;7;0;0;0;2;0;0;0;0;0;Si;No;1;22/12/2021;2021/2022
Atlético;Visitante;0;0;0;1;7;1,68;0;0;0;0;1,58;9;0;0;0;0;0;2;No;Si;1;22/12/2021;2021/2022
Osasuna;Local;1;4;0,89;0;0;0;1;1,16;6;0;0;0;0;1;0;0;0;0;No;No;x;22/10/2021;2021/2022
Granada;Visitante;0;0;0;1;2;1,16;0;0;0;1;0,84;3;0;0;0;0;1;0;Si;No;x;22/10/2021;2021/2022
Valencia;Local;2;8;1,37;0;0;0;1;1,37;8;0;0;0;0;2;0;0;0;0;No;No;x;23/10/2021;2021/2022
Mallorca;Visitante;0;0;0;2;3;0,84;0;0;0;1;0,63;4;0;0;0;0;1;0;No;No;x;23/10/2021;2021/2022
Cádiz;Local;0;3;1;0;0;0;0;0,95;3;0;0;0;0;0;1;0;0;0;No;No;2;23/10/2021;2021/2022
Alavés;Visitante;0;0;0;2;4;0,74;0;0;0;3;0,32;3;0;0;0;1;0;0;Si;No;2;23/10/2021;2021/2022
Elche;Local;2;5;1,26;0;0;0;1;1,42;7;0;0;0;0;1;0;0;0;0;No;No;x;23/10/2021;2021/2022
Espanyol;Visitante;0;0;0;2;4;0,79;0;0;0;1;0,47;3;0;0;0;0;1;0;No;No;x;23/10/2021;2021/2022
Athletic;Local;2;7;1,53;0;0;0;3;1,79;10;0;0;0;2;0;0;0;0;0;No;No;1;23/10/2021;2021/2022
Villarreal;Visitante;0;0;0;1;0;1,21;0;0;0;0;1,21;4;0;0;0;0;0;1;No;Si;1;23/10/2021;2021/2022
Sevilla;Local;5;14;1,89;0;0;0;3;2,21;13;0;0;0;3;0;0;0;0;0;No;Si;1;24/10/2021;2021/2022
Levante;Visitante;0;0;0;3;4;1,21;0;0;0;0;0,68;2;0;0;0;0;0;3;Si;No;1;24/10/2021;2021/2022
Barcelona;Local;1;14;1,95;0;0;0;0;2;13;0;0;0;0;0;1;0;0;0;No;Si;2;24/10/2021;2021/2022
Real Madrid;Visitante;0;0;0;2;0;1,89;0;0;0;3;2,21;13;0;0;0;1;0;0;No;Si;2;24/10/2021;2021/2022
Betis;Local;3;8;1,79;0;0;0;3;1,68;8;0;0;0;2;0;0;0;0;0;No;Si;1;24/10/2021;2021/2022
Rayo;Visitante;0;0;0;2;2;0,68;0;0;0;0;0,68;4;0;0;0;0;0;2;No;No;1;24/10/2021;2021/2022
Atlético;Local;2;7;1,74;0;0;0;1;2,16;11;0;0;0;0;1;0;0;0;0;No;Si;x;24/10/2021;2021/2022
R. Sociedad;Visitante;0;0;0;2;3;1,26;0;0;0;1;1,42;8;0;0;0;0;2;0;No;Si;x;24/10/2021;2021/2022
Getafe;Local;0;2;1,11;0;0;0;0;1,47;1;0;0;0;0;0;1;0;0;0;No;No;2;25/10/2021;2021/2022
Celta;Visitante;0;0;0;3;7;0,89;0;0;0;3;1,11;7;0;0;0;1;0;0;No;No;2;25/10/2021;2021/2022
Alavés;Local;1;3;0,89;0;0;0;3;1,31;6;0;0;0;1;0;0;0;0;0;Si;No;1;26/10/2021;2021/2022
Elche;Visitante;0;0;0;0;3;0,84;0;0;0;0;0,79;3;0;0;0;0;0;4;No;No;1;26/10/2021;2021/2022
Espanyol;Local;1;7;1,32;0;0;0;1;1,74;11;0;0;0;0;1;0;0;0;0;No;No;x;26/10/2021;2021/2022
Athletic;Visitante;0;0;0;1;3;0,74;0;0;0;1;1,11;7;0;0;0;0;1;0;No;No;x;26/10/2021;2021/2022
Villarreal;Local;3;15;2,11;0;0;0;1;1,89;11;0;0;0;0;1;0;0;0;0;No;Si;x;26/10/2021;2021/2022
Cádiz;Visitante;0;0;0;3;7;0,84;0;0;0;1;1,11;5;0;0;0;0;1;0;No;No;x;26/10/2021;2021/2022
Mallorca;Local;1;6;1,05;0;0;0;1;1,42;9;0;0;0;0;1;0;0;0;0;No;No;x;27/10/2021;2021/2022
Sevilla;Visitante;0;0;0;1;0;0,89;0;0;0;1;1,47;9;0;0;0;0;1;0;No;Si;x;27/10/2021;2021/2022
Rayo;Local;1;13;1,37;0;0;0;3;1,53;15;0;0;0;5;0;0;0;0;0;No;No;1;27/10/2021;2021/2022
Barcelona;Visitante;0;0;0;0;2;1,63;0;0;0;0;1,84;3;0;0;0;0;0;2;No;Si;1;27/10/2021;2021/2022
Betis;Local;4;12;1,79;0;0;0;3;1,68;11;0;0;0;3;0;0;0;0;0;No;Si;1;27/10/2021;2021/2022
Valencia;Visitante;0;0;0;1;0;1,16;0;0;0;0;1,16;5;0;0;0;0;0;2;No;No;1;27/10/2021;2021/2022
Real Madrid;Local;0;12;2,31;0;0;0;1;2,31;11;0;0;0;0;1;0;0;0;0;No;Si;x;27/10/2021;2021/2022
Osasuna;Visitante;0;0;0;0;5;1,05;0;0;0;1;1,32;13;0;0;0;0;1;0;No;No;x;27/10/2021;2021/2022
Celta;Local;0;3;1,37;0;0;0;0;1,32;3;0;0;0;0;0;2;0;0;0;No;No;2;28/10/2021;2021/2022
R. Sociedad;Visitante;0;0;0;2;5;1,26;0;0;0;3;1,42;11;0;0;0;1;0;0;No;Si;2;28/10/2021;2021/2022
Granada;Local;1;8;1,16;0;0;0;1;1,16;8;0;0;0;0;1;0;0;0;0;Si;No;x;28/10/2021;2021/2022
Getafe;Visitante;0;0;0;1;2;0,63;0;0;0;1;0,58;2;0;0;0;0;2;0;No;No;x;28/10/2021;2021/2022
Levante;Local;2;6;1,47;0;0;0;1;1,16;4;0;0;0;0;2;0;0;0;0;Si;No;x;28/10/2021;2021/2022
Atlético;Visitante;0;0;0;2;9;1,68;0;0;0;1;1,58;10;0;0;0;0;1;0;No;Si;x;28/10/2021;2021/2022
Elche;Local;1;6;1,26;0;0;0;0;1,42;7;0;0;0;0;0;1;0;0;0;No;No;2;30/10/2021;2021/2022
Real Madrid;Visitante;0;0;0;2;2;1,89;0;0;0;3;2,21;16;0;0;0;2;0;0;No;Si;2;30/10/2021;2021/2022
Sevilla;Local;2;16;1,89;0;0;0;3;2,21;16;0;0;0;4;0;0;0;0;0;No;Si;1;30/10/2021;2021/2022
Osasuna;Visitante;0;0;0;0;5;1,05;0;0;0;0;1,32;13;0;0;0;0;0;1;No;No;1;30/10/2021;2021/2022
Valencia;Local;2;10;1,37;0;0;0;3;1,37;11;0;0;0;1;0;0;0;0;0;No;No;1;30/10/2021;2021/2022
Villarreal;Visitante;0;0;0;0;0;1,21;0;0;0;0;1,21;4;0;0;0;0;0;2;No;Si;1;30/10/2021;2021/2022
Barcelona;Local;1;15;1,95;0;0;0;1;2;14;0;0;0;0;1;0;0;0;0;No;Si;x;30/10/2021;2021/2022
Alavés;Visitante;0;0;0;1;5;0,74;0;0;0;1;0,32;4;0;0;0;0;1;0;Si;No;x;30/10/2021;2021/2022
Cádiz;Local;1;4;1;0;0;0;1;0,95;4;0;0;0;0;1;0;0;0;0;No;No;x;31/10/2021;2021/2022
Mallorca;Visitante;0;0;0;1;4;0,84;0;0;0;1;0,63;5;0;0;0;0;2;0;No;No;x;31/10/2021;2021/2022
Atlético;Local;3;10;1,74;0;0;0;3;2,16;14;0;0;0;1;0;0;0;0;0;No;Si;1;31/10/2021;2021/2022
Betis;Visitante;0;0;0;0;7;1,47;0;0;0;0;1,74;10;0;0;0;0;0;1;No;Si;1;31/10/2021;2021/2022
Getafe;Local;2;4;1,11;0;0;0;3;1,47;4;0;0;0;1;0;0;0;0;0;No;No;1;31/10/2021;2021/2022
Espanyol;Visitante;0;0;0;1;5;0,79;0;0;0;0;0,47;3;0;0;0;0;0;1;No;No;1;31/10/2021;2021/2022
R. Sociedad;Local;1;5;0,84;0;0;0;1;1,84;12;0;0;0;0;1;0;0;0;0;No;Si;x;31/10/2021;2021/2022
Athletic;Visitante;0;0;0;1;4;0,74;0;0;0;1;1,11;8;0;0;0;0;2;0;No;No;x;31/10/2021;2021/2022
Rayo;Local;0;13;1,37;0;0;0;1;1,53;16;0;0;0;0;1;0;0;0;0;No;No;x;01/11/2021;2021/2022
Celta;Visitante;0;0;0;0;7;0,89;0;0;0;1;1,11;8;0;0;0;0;1;0;No;No;x;01/11/2021;2021/2022
Levante;Local;0;6;1,47;0;0;0;0;1,16;4;0;0;0;0;0;1;0;0;0;Si;No;2;01/11/2021;2021/2022
Granada;Visitante;0;0;0;3;5;1,16;0;0;0;3;0,84;6;0;0;0;1;0;0;Si;No;2;01/11/2021;2021/2022
Athletic;Local;0;7;1,53;0;0;0;0;1,79;10;0;0;0;0;0;1;0;0;0;No;No;2;05/11/2021;2021/2022
Cádiz;Visitante;0;0;0;1;8;0,84;0;0;0;3;1,11;8;0;0;0;1;0;0;No;No;2;05/11/2021;2021/2022
Espanyol;Local;2;9;1,32;0;0;0;3;1,74;14;0;0;0;1;0;0;0;0;0;No;No;1;06/11/2021;2021/2022
Granada;Visitante;0;0;0;0;5;1,16;0;0;0;0;0,84;6;0;0;0;0;0;1;Si;No;1;06/11/2021;2021/2022
Celta;Local;3;6;1,37;0;0;0;1;1,32;4;0;0;0;0;1;0;0;0;0;No;No;x;06/11/2021;2021/2022
Barcelona;Visitante;0;0;0;3;5;1,63;0;0;0;1;1,84;4;0;0;0;0;1;0;No;Si;x;06/11/2021;2021/2022
Alavés;Local;2;5;0,89;0;0;0;3;1,31;9;0;0;0;2;0;0;0;0;0;Si;No;1;06/11/2021;2021/2022
Levante;Visitante;0;0;0;1;5;1,21;0;0;0;0;0,68;2;0;0;0;0;0;4;Si;No;1;06/11/2021;2021/2022
Real Madrid;Local;2;14;2,31;0;0;0;3;2,31;14;0;0;0;1;0;0;0;0;0;No;Si;1;06/11/2021;2021/2022
Rayo;Visitante;0;0;0;1;3;0,68;0;0;0;0;0,68;4;0;0;0;0;0;3;No;No;1;06/11/2021;2021/2022
Villarreal;Local;1;16;2,11;0;0;0;3;1,89;14;0;0;0;1;0;0;0;0;0;No;Si;1;07/11/2021;2021/2022
Getafe;Visitante;0;0;0;0;2;0,63;0;0;0;0;0,58;2;0;0;0;0;0;1;No;No;1;07/11/2021;2021/2022
Valencia;Local;3;13;1,37;0;0;0;1;1,37;12;0;0;0;0;1;0;0;0;0;No;No;x;07/11/2021;2021/2022
Atlético;Visitante;0;0;0;3;12;1,68;0;0;0;1;1,58;11;0;0;0;0;2;0;No;Si;x;07/11/2021;2021/2022
Mallorca;Local;2;8;1,05;0;0;0;1;1,42;10;0;0;0;0;2;0;0;0;0;No;No;x;07/11/2021;2021/2022
Elche;Visitante;0;0;0;2;5;0,84;0;0;0;1;0,79;4;0;0;0;0;1;0;No;No;x;07/11/2021;2021/2022
Osasuna;Local;0;4;0,89;0;0;0;0;1,16;6;0;0;0;0;0;1;0;0;0;No;No;2;07/11/2021;2021/2022
R. Sociedad;Visitante;0;0;0;2;7;1,26;0;0;0;3;1,42;14;0;0;0;2;0;0;No;Si;2;07/11/2021;2021/2022
Betis;Local;0;12;1,79;0;0;0;0;1,68;11;0;0;0;0;0;1;0;0;0;No;Si;2;07/11/2021;2021/2022
Sevilla;Visitante;0;0;0;2;2;0,89;0;0;0;3;1,47;12;0;0;0;1;0;0;No;Si;2;07/11/2021;2021/2022
Levante;Local;0;6;1,47;0;0;0;1;1,16;5;0;0;0;0;1;0;0;0;0;Si;No;x;19/11/2021;2021/2022
Athletic;Visitante;0;0;0;0;4;0,74;0;0;0;1;1,11;9;0;0;0;0;3;0;No;No;x;19/11/2021;2021/2022
Celta;Local;1;7;1,37;0;0;0;1;1,32;5;0;0;0;0;2;0;0;0;0;No;No;x;20/11/2021;2021/2022
Villarreal;Visitante;0;0;0;1;0;1,21;0;0;0;1;1,21;5;0;0;0;0;1;0;No;Si;x;20/11/2021;2021/2022
Sevilla;Local;2;18;1,89;0;0;0;1;2,21;17;0;0;0;0;1;0;0;0;0;No;Si;x;20/11/2021;2021/2022
Alavés;Visitante;0;0;0;2;7;0,74;0;0;0;1;0,32;5;0;0;0;0;2;0;Si;No;x;20/11/2021;2021/2022
Atlético;Local;1;11;1,74;0;0;0;3;2,16;17;0;0;0;2;0;0;0;0;0;No;Si;1;20/11/2021;2021/2022
Osasuna;Visitante;0;0;0;0;5;1,05;0;0;0;0;1,32;13;0;0;0;0;0;2;No;No;1;20/11/2021;2021/2022
Barcelona;Local;1;16;1,95;0;0;0;3;2;17;0;0;0;1;0;0;0;0;0;No;Si;1;20/11/2021;2021/2022
Espanyol;Visitante;0;0;0;0;5;0,79;0;0;0;0;0,47;3;0;0;0;0;0;2;No;No;1;20/11/2021;2021/2022
Getafe;Local;4;8;1,11;0;0;0;3;1,47;7;0;0;0;2;0;0;0;0;0;No;No;1;21/11/2021;2021/2022
Cádiz;Visitante;0;0;0;0;8;0,84;0;0;0;0;1,11;8;0;0;0;0;0;1;No;No;1;21/11/2021;2021/2022
Granada;Local;1;9;1,16;0;0;0;0;1,16;8;0;0;0;0;0;1;0;0;0;Si;No;2;21/11/2021;2021/2022
Real Madrid;Visitante;0;0;0;4;6;1,89;0;0;0;3;2,21;19;0;0;0;3;0;0;No;Si;2;21/11/2021;2021/2022
Elche;Local;0;6;1,26;0;0;0;0;1,42;7;0;0;0;0;0;2;0;0;0;No;No;2;21/11/2021;2021/2022
Betis;Visitante;0;0;0;3;10;1,47;0;0;0;3;1,74;13;0;0;0;1;0;0;No;Si;2;21/11/2021;2021/2022
R. Sociedad;Local;0;5;0,84;0;0;0;1;1,84;13;0;0;0;0;2;0;0;0;0;No;Si;x;21/11/2021;2021/2022
Valencia;Visitante;0;0;0;0;0;1,16;0;0;0;1;1,16;6;0;0;0;0;1;0;No;No;x;21/11/2021;2021/2022
Rayo;Local;3;16;1,37;0;0;0;3;1,53;19;0;0;0;1;0;0;0;0;0;No;No;1;22/11/2021;2021/2022
Mallorca;Visitante;0;0;0;1;5;0,84;0;0;0;0;0,63;5;0;0;0;0;0;1;No;No;1;22/11/2021;2021/2022
Athletic;Local;2;9;1,53;0;0;0;1;1,79;11;0;0;0;0;1;0;0;0;0;No;No;x;26/11/2021;2021/2022
Granada;Visitante;0;0;0;2;7;1,16;0;0;0;1;0,84;7;0;0;0;0;1;0;Si;No;x;26/11/2021;2021/2022
Alavés;Local;1;6;0,89;0;0;0;0;1,31;9;0;0;0;0;0;1;0;0;0;Si;No;2;27/11/2021;2021/2022
Celta;Visitante;0;0;0;2;9;0,89;0;0;0;3;1,11;11;0;0;0;1;0;0;No;No;2;27/11/2021;2021/2022
Valencia;Local;1;14;1,37;0;0;0;1;1,37;13;0;0;0;0;2;0;0;0;0;No;No;x;27/11/2021;2021/2022
Rayo;Visitante;0;0;0;1;4;0,68;0;0;0;1;0,68;5;0;0;0;0;1;0;No;No;x;27/11/2021;2021/2022
Mallorca;Local;0;8;1,05;0;0;0;1;1,42;11;0;0;0;0;3;0;0;0;0;No;No;x;27/11/2021;2021/2022
Getafe;Visitante;0;0;0;0;2;0,63;0;0;0;1;0,58;3;0;0;0;0;1;0;No;No;x;27/11/2021;2021/2022
Villarreal;Local;1;17;2,11;0;0;0;0;1,89;14;0;0;0;0;0;1;0;0;0;No;Si;2;27/11/2021;2021/2022
Barcelona;Visitante;0;0;0;3;8;1,63;0;0;0;3;1,84;7;0;0;0;1;0;0;No;Si;2;27/11/2021;2021/2022
Betis;Local;3;15;1,79;0;0;0;3;1,68;14;0;0;0;1;0;0;0;0;0;No;Si;1;28/11/2021;2021/2022
Levante;Visitante;0;0;0;1;6;1,21;0;0;0;0;0,68;2;0;0;0;0;0;5;Si;No;1;28/11/2021;2021/2022
Espanyol;Local;1;10;1,32;0;0;0;3;1,74;17;0;0;0;2;0;0;0;0;0;No;No;1;28/11/2021;2021/2022
R. Sociedad;Visitante;0;0;0;0;7;1,26;0;0;0;0;1,42;14;0;0;0;0;0;1;No;Si;1;28/11/2021;2021/2022
Cádiz;Local;1;5;1;0;0;0;0;0,95;4;0;0;0;0;0;1;0;0;0;No;No;2;28/11/2021;2021/2022
Atlético;Visitante;0;0;0;4;16;1,68;0;0;0;3;1,58;14;0;0;0;1;0;0;No;Si;2;28/11/2021;2021/2022
Real Madrid;Local;2;16;2,31;0;0;0;3;2,31;17;0;0;0;2;0;0;0;0;0;No;Si;1;28/11/2021;2021/2022
Sevilla;Visitante;0;0;0;1;3;0,89;0;0;0;0;1,47;12;0;0;0;0;0;1;No;Si;1;28/11/2021;2021/2022
Osasuna;Local;1;5;0,89;0;0;0;1;1,16;7;0;0;0;0;1;0;0;0;0;No;No;x;29/11/2021;2021/2022
Elche;Visitante;0;0;0;1;6;0,84;0;0;0;1;0,79;5;0;0;0;0;2;0;No;No;x;29/11/2021;2021/2022
Granada;Local;2;11;1,16;0;0;0;3;1,16;11;0;0;0;1;0;0;0;0;0;Si;No;1;03/12/2021;2021/2022
Alavés;Visitante;0;0;0;1;8;0,74;0;0;0;0;0,32;5;0;0;0;0;0;1;Si;No;1;03/12/2021;2021/2022
Sevilla;Local;1;19;1,89;0;0;0;3;2,21;20;0;0;0;1;0;0;0;0;0;No;Si;1;04/12/2021;2021/2022
Villarreal;Visitante;0;0;0;0;0;1,21;0;0;0;0;1,21;5;0;0;0;0;0;1;No;Si;1;04/12/2021;2021/2022
Barcelona;Local;0;16;1,95;0;0;0;0;2;17;0;0;0;0;0;1;0;0;0;No;Si;2;04/12/2021;2021/2022
Betis;Visitante;0;0;0;1;11;1,47;0;0;0;3;1,74;16;0;0;0;2;0;0;No;Si;2;04/12/2021;2021/2022
Atlético;Local;1;12;1,74;0;0;0;0;2,16;17;0;0;0;0;0;1;0;0;0;No;Si;2;04/12/2021;2021/2022
Mallorca;Visitante;0;0;0;2;7;0,84;0;0;0;3;0,63;8;0;0;0;1;0;0;No;No;2;04/12/2021;2021/2022
R. Sociedad;Local;0;5;0,84;0;0;0;0;1,84;13;0;0;0;0;0;1;0;0;0;No;Si;2;04/12/2021;2021/2022
Real Madrid;Visitante;0;0;0;2;8;1,89;0;0;0;3;2,21;22;0;0;0;4;0;0;No;Si;2;04/12/2021;2021/2022
Rayo;Local;1;17;1,37;0;0;0;3;1,53;22;0;0;0;2;0;0;0;0;0;No;No;1;05/12/2021;2021/2022
Espanyol;Visitante;0;0;0;0;5;0,79;0;0;0;0;0,47;3;0;0;0;0;0;3;No;No;1;05/12/2021;2021/2022
Elche;Local;3;9;1,26;0;0;0;3;1,42;10;0;0;0;1;0;0;0;0;0;No;No;1;05/12/2021;2021/2022
Cádiz;Visitante;0;0;0;1;9;0,84;0;0;0;0;1,11;8;0;0;0;0;0;2;No;No;1;05/12/2021;2021/2022
Levante;Local;0;6;1,47;0;0;0;1;1,16;6;0;0;0;0;2;0;0;0;0;Si;No;x;05/12/2021;2021/2022
Osasuna;Visitante;0;0;0;0;5;1,05;0;0;0;1;1,32;14;0;0;0;0;1;0;No;No;x;05/12/2021;2021/2022
Celta;Local;1;8;1,37;0;0;0;0;1,32;5;0;0;0;0;0;1;0;0;0;No;No;2;05/12/2021;2021/2022
Valencia;Visitante;0;0;0;2;2;1,16;0;0;0;3;1,16;9;0;0;0;1;0;0;No;No;2;05/12/2021;2021/2022
Getafe;Local;0;8;1,11;0;0;0;1;1,47;8;0;0;0;0;1;0;0;0;0;No;No;x;06/12/2021;2021/2022
Athletic;Visitante;0;0;0;0;4;0,74;0;0;0;1;1,11;10;0;0;0;0;4;0;No;No;x;06/12/2021;2021/2022
Mallorca;Local;0;8;1,05;0;0;0;1;1,42;12;0;0;0;0;4;0;0;0;0;No;No;x;10/12/2021;2021/2022
Celta;Visitante;0;0;0;0;9;0,89;0;0;0;1;1,11;12;0;0;0;0;1;0;No;No;x;10/12/2021;2021/2022
Espanyol;Local;4;14;1,32;0;0;0;3;1,74;20;0;0;0;3;0;0;0;0;0;No;No;1;11/12/2021;2021/2022
Levante;Visitante;0;0;0;3;9;1,21;0;0;0;0;0,68;2;0;0;0;0;0;6;Si;No;1;11/12/2021;2021/2022
Alavés;Local;1;7;0,89;0;0;0;1;1,31;10;0;0;0;0;1;0;0;0;0;Si;No;x;11/12/2021;2021/2022
Getafe;Visitante;0;0;0;1;3;0,63;0;0;0;1;0,58;4;0;0;0;0;2;0;No;No;x;11/12/2021;2021/2022
Valencia;Local;2;16;1,37;0;0;0;3;1,37;16;0;0;0;1;0;0;0;0;0;No;No;1;11/12/2021;2021/2022
Elche;Visitante;0;0;0;1;7;0,84;0;0;0;0;0,79;5;0;0;0;0;0;1;No;No;1;11/12/2021;2021/2022
Athletic;Local;0;9;1,53;0;0;0;0;1,79;11;0;0;0;0;0;1;0;0;0;No;No;2;11/12/2021;2021/2022
Sevilla;Visitante;0;0;0;1;4;0,89;0;0;0;3;1,47;15;0;0;0;1;0;0;No;Si;2;11/12/2021;2021/2022
Villarreal;Local;2;19;2,11;0;0;0;3;1,89;17;0;0;0;1;0;0;0;0;0;No;Si;1;12/12/2021;2021/2022
Rayo;Visitante;0;0;0;0;4;0,68;0;0;0;0;0,68;5;0;0;0;0;0;1;No;No;1;12/12/2021;2021/2022
Osasuna;Local;2;7;0,89;0;0;0;1;1,16;8;0;0;0;0;2;0;0;0;0;No;No;x;12/12/2021;2021/2022
Barcelona;Visitante;0;0;0;2;10;1,63;0;0;0;1;1,84;8;0;0;0;0;1;0;No;Si;x;12/12/2021;2021/2022
Betis;Local;4;19;1,79;0;0;0;3;1,68;17;0;0;0;2;0;0;0;0;0;No;Si;1;12/12/2021;2021/2022
R. Sociedad;Visitante;0;0;0;0;7;1,26;0;0;0;0;1,42;14;0;0;0;0;0;2;No;Si;1;12/12/2021;2021/2022
Real Madrid;Local;2;18;2,31;0;0;0;3;2,31;20;0;0;0;3;0;0;0;0;0;No;Si;1;12/12/2021;2021/2022
Atlético;Visitante;0;0;0;0;16;1,68;0;0;0;0;1,58;14;0;0;0;0;0;1;No;Si;1;12/12/2021;2021/2022
Cádiz;Local;1;6;1;0;0;0;1;0,95;5;0;0;0;0;1;0;0;0;0;No;No;x;13/12/2021;2021/2022
Granada;Visitante;0;0;0;1;8;1,16;0;0;0;1;0,84;8;0;0;0;0;2;0;Si;No;x;13/12/2021;2021/2022
Celta;Local;3;11;1,37;0;0;0;3;1,32;8;0;0;0;1;0;0;0;0;0;No;No;1;17/12/2021;2021/2022
Espanyol;Visitante;0;0;0;1;6;0,79;0;0;0;0;0,47;3;0;0;0;0;0;4;No;No;1;17/12/2021;2021/2022
Rayo;Local;2;19;1,37;0;0;0;3;1,53;25;0;0;0;3;0;0;0;0;0;No;No;1;18/12/2021;2021/2022
Alavés;Visitante;0;0;0;0;8;0,74;0;0;0;0;0,32;5;0;0;0;0;0;2;Si;No;1;18/12/2021;2021/2022
R. Sociedad;Local;1;6;0,84;0;0;0;0;1,84;13;0;0;0;0;0;2;0;0;0;No;Si;2;18/12/2021;2021/2022
Villarreal;Visitante;0;0;0;3;3;1,21;0;0;0;3;1,21;8;0;0;0;1;0;0;No;Si;2;18/12/2021;2021/2022
Barcelona;Local;3;19;1,95;0;0;0;3;2;20;0;0;0;1;0;0;0;0;0;No;Si;1;18/12/2021;2021/2022
Elche;Visitante;0;0;0;2;9;0,84;0;0;0;0;0,79;5;0;0;0;0;0;2;No;No;1;18/12/2021;2021/2022
Sevilla;Local;2;21;1,89;0;0;0;3;2,21;21;0;0;0;2;0;0;0;0;0;No;Si;1;18/12/2021;2021/2022
Atlético;Visitante;0;0;0;1;17;1,68;0;0;0;0;1,58;14;0;0;0;0;0;2;No;Si;1;18/12/2021;2021/2022
Granada;Local;4;15;1,16;0;0;0;3;1,16;14;0;0;0;2;0;0;0;0;0;Si;No;1;19/12/2021;2021/2022
Mallorca;Visitante;0;0;0;1;8;0,84;0;0;0;0;0,63;8;0;0;0;0;0;1;No;No;1;19/12/2021;2021/2022
Athletic;Local;3;12;1,53;0;0;0;3;1,79;14;0;0;0;1;0;0;0;0;0;No;No;1;19/12/2021;2021/2022
Betis;Visitante;0;0;0;2;13;1,47;0;0;0;0;1,74;16;0;0;0;0;0;1;No;Si;1;19/12/2021;2021/2022
Getafe;Local;1;9;1,11;0;0;0;3;1,47;11;0;0;0;1;0;0;0;0;0;No;No;1;19/12/2021;2021/2022
